,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName,time,scores,anomaly
8,1,2,00:00:00:00:00:04,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-5.128890166708735,-1
9,1,3,00:00:00:00:00:04,0.0247384481255449,0.02474369144871104,aaltosea1,rohe_test_isntance,experiment1,1700641880.20769,rohe_test_stage,sdn,10.039520025253296,-1.0560743850135061,-1
17,1,3,00:00:00:00:00:04,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-3.426268983839022,-1
20,1,4,00:00:00:00:00:01,0.13924050632911392,0.1393982016376149,aaltosea1,rohe_test_isntance,experiment1,1700641882.215529,rohe_test_stage,sdn,10.040730953216553,-7.400851110051944,-1
24,1,4,00:00:00:00:00:01,0.24050632911392406,0.2449891997789722,aaltosea1,rohe_test_isntance,experiment1,1700641886.234352,rohe_test_stage,sdn,10.043308973312378,-3.005061014251906,-1
26,1,4,00:00:00:00:00:01,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-3.98932541267045,-1
28,1,4,00:00:00:00:00:02,0.05128205128205128,0.04231126237623763,aaltosea1,rohe_test_isntance,experiment1,1700641881.212835,rohe_test_stage,sdn,10.042113065719604,-9.35881199643891,-1
35,1,4,00:00:00:00:00:02,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-0.16634346661274813,-1
44,1,4,00:00:00:00:00:03,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-2.164850844474439,-1
48,1,4,00:00:00:00:00:06,0.175,0.18342516642150142,aaltosea1,rohe_test_isntance,experiment1,1700641883.218148,rohe_test_stage,sdn,10.037201166152954,-0.9431655927955811,-1
49,1,4,00:00:00:00:00:06,0.175,0.18342516642150142,aaltosea1,rohe_test_isntance,experiment1,1700641884.223964,rohe_test_stage,sdn,10.040584087371826,-1.4259533431680027,-1
53,1,4,00:00:00:00:00:06,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-4.457213545885638,-1
56,2,1,00:00:00:00:00:02,0.0,0.0,aaltosea1,rohe_test_isntance,experiment1,1700641882.215529,rohe_test_stage,sdn,10.040730953216553,-1.2822653473955712,-1
59,2,1,00:00:00:00:00:02,0.02247191011235955,0.023706410429918348,aaltosea1,rohe_test_isntance,experiment1,1700641885.230313,rohe_test_stage,sdn,10.04519009590149,-0.1416215071387954,-1
68,2,1,00:00:00:00:00:07,0.02197802197802198,0.023885277941911733,aaltosea1,rohe_test_isntance,experiment1,1700641885.230313,rohe_test_stage,sdn,10.04519009590149,-1.0796215028104164,-1
69,2,1,00:00:00:00:00:07,0.02197802197802198,0.023885277941911733,aaltosea1,rohe_test_isntance,experiment1,1700641886.234352,rohe_test_stage,sdn,10.043308973312378,-0.4451697221072537,-1
77,2,1,00:00:00:00:00:08,0.02247191011235955,0.024469744592675376,aaltosea1,rohe_test_isntance,experiment1,1700641885.230313,rohe_test_stage,sdn,10.04519009590149,-0.1416215071387954,-1
86,2,2,00:00:00:00:00:02,0.02197802197802198,0.024034943285766556,aaltosea1,rohe_test_isntance,experiment1,1700641885.230313,rohe_test_stage,sdn,10.04519009590149,-2.038367842459652,-1
87,2,2,00:00:00:00:00:02,0.02197802197802198,0.024034943285766556,aaltosea1,rohe_test_isntance,experiment1,1700641886.234352,rohe_test_stage,sdn,10.043308973312378,-0.6020873614673268,-1
5,1,2,00:00:00:00:00:04,0.7362671660424469,0.7362988598465628,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-5.117172133275723,-1
