,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName,time,scores,anomaly
8,1,2,00:00:00:00:00:04,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-5.120653108778779,-1
9,1,3,00:00:00:00:00:04,0.0247384481255449,0.02474369144871104,aaltosea1,rohe_test_isntance,experiment1,1700641880.20769,rohe_test_stage,sdn,10.039520025253296,-1.0563792901355815,-1
17,1,3,00:00:00:00:00:04,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-3.42627206282224,-1
19,1,4,00:00:00:00:00:01,0.05063291139240506,0.05279549907067865,aaltosea1,rohe_test_isntance,experiment1,1700641881.212835,rohe_test_stage,sdn,10.042113065719604,-0.009233196909030017,-1
26,1,4,00:00:00:00:00:01,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-4.208983249450702,-1
27,1,4,00:00:00:00:00:02,0.01282051282051282,0.007606229372937294,aaltosea1,rohe_test_isntance,experiment1,1700641880.20769,rohe_test_stage,sdn,10.039520025253296,-2.2159043504223375,-1
28,1,4,00:00:00:00:00:02,0.05128205128205128,0.04231126237623763,aaltosea1,rohe_test_isntance,experiment1,1700641881.212835,rohe_test_stage,sdn,10.042113065719604,-3.0722891642772083,-1
29,1,4,00:00:00:00:00:02,0.10256410256410256,0.0965088696369637,aaltosea1,rohe_test_isntance,experiment1,1700641882.215529,rohe_test_stage,sdn,10.040730953216553,-0.07668125200486231,-1
35,1,4,00:00:00:00:00:02,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-1.1943284409272432,-1
38,1,4,00:00:00:00:00:03,0.11392405063291139,0.10685381891755184,aaltosea1,rohe_test_isntance,experiment1,1700641882.215529,rohe_test_stage,sdn,10.040730953216553,-0.21994285686573578,-1
43,1,4,00:00:00:00:00:03,0.5316455696202531,0.5396054628224582,aaltosea1,rohe_test_isntance,experiment1,1700641887.235348,rohe_test_stage,sdn,10.04062008857727,-0.6569624595339327,-1
44,1,4,00:00:00:00:00:03,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-1.9913313943465134,-1
46,1,4,00:00:00:00:00:06,0.0625,0.059762148146301326,aaltosea1,rohe_test_isntance,experiment1,1700641881.212835,rohe_test_stage,sdn,10.042113065719604,-0.10179561885752197,-1
53,1,4,00:00:00:00:00:06,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-3.984201352850313,-1
59,2,1,00:00:00:00:00:02,0.02247191011235955,0.023706410429918348,aaltosea1,rohe_test_isntance,experiment1,1700641885.230313,rohe_test_stage,sdn,10.04519009590149,-0.15003333420482212,-1
61,2,1,00:00:00:00:00:02,0.02247191011235955,0.023706410429918348,aaltosea1,rohe_test_isntance,experiment1,1700641887.235348,rohe_test_stage,sdn,10.04062008857727,-0.007060433045785297,-1
66,2,1,00:00:00:00:00:07,0.02197802197802198,0.023885277941911733,aaltosea1,rohe_test_isntance,experiment1,1700641883.218148,rohe_test_stage,sdn,10.037201166152954,-39.5810028600317,-1
67,2,1,00:00:00:00:00:07,0.02197802197802198,0.023885277941911733,aaltosea1,rohe_test_isntance,experiment1,1700641884.223964,rohe_test_stage,sdn,10.040584087371826,-7.747646731380176,-1
68,2,1,00:00:00:00:00:07,0.02197802197802198,0.023885277941911733,aaltosea1,rohe_test_isntance,experiment1,1700641885.230313,rohe_test_stage,sdn,10.04519009590149,-6.600279364595476,-1
69,2,1,00:00:00:00:00:07,0.02197802197802198,0.023885277941911733,aaltosea1,rohe_test_isntance,experiment1,1700641886.234352,rohe_test_stage,sdn,10.043308973312378,-7.320013841287565,-1
70,2,1,00:00:00:00:00:07,0.02197802197802198,0.023885277941911733,aaltosea1,rohe_test_isntance,experiment1,1700641887.235348,rohe_test_stage,sdn,10.04062008857727,-7.747172784060703,-1
71,2,1,00:00:00:00:00:07,0.02197802197802198,0.023885277941911733,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-19.011909792190544,-1
77,2,1,00:00:00:00:00:08,0.02247191011235955,0.024469744592675376,aaltosea1,rohe_test_isntance,experiment1,1700641885.230313,rohe_test_stage,sdn,10.04519009590149,-0.15003333420482212,-1
79,2,1,00:00:00:00:00:08,0.02247191011235955,0.024469744592675376,aaltosea1,rohe_test_isntance,experiment1,1700641887.235348,rohe_test_stage,sdn,10.04062008857727,-0.007060433045785297,-1
86,2,2,00:00:00:00:00:02,0.02197802197802198,0.024034943285766556,aaltosea1,rohe_test_isntance,experiment1,1700641885.230313,rohe_test_stage,sdn,10.04519009590149,-3.7034838012461684,-1
87,2,2,00:00:00:00:00:02,0.02197802197802198,0.024034943285766556,aaltosea1,rohe_test_isntance,experiment1,1700641886.234352,rohe_test_stage,sdn,10.043308973312378,-1.689232048664599,-1
5,1,2,00:00:00:00:00:04,0.7362671660424469,0.7362988598465628,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-5.108964245886375,-1
6,1,2,00:00:00:00:00:04,0.971441947565543,0.971580732317647,aaltosea1,rohe_test_isntance,experiment1,1700641889.247293,rohe_test_stage,sdn,10.044209003448486,-17.87417069357685,-1
7,1,2,00:00:00:00:00:04,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641890.252979,rohe_test_stage,sdn,10.045289039611816,-19.41672699666572,-1
8,1,2,00:00:00:00:00:04,0.9992197253433208,0.9992193700316155,aaltosea1,rohe_test_isntance,experiment1,1700641891.25717,rohe_test_stage,sdn,10.044334888458252,-19.37332476598317,-1
14,1,3,00:00:00:00:00:04,0.7345501120717259,0.7345659653875496,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-3.420099771053863,-1
15,1,3,00:00:00:00:00:04,0.9745437079731027,0.9745377629796689,aaltosea1,rohe_test_isntance,experiment1,1700641889.247293,rohe_test_stage,sdn,10.044209003448486,-15.862440072022814,-1
16,1,3,00:00:00:00:00:04,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641890.252979,rohe_test_stage,sdn,10.045289039611816,-17.183414398125866,-1
17,1,3,00:00:00:00:00:04,0.9991194364393212,0.9991192307948942,aaltosea1,rohe_test_isntance,experiment1,1700641891.25717,rohe_test_stage,sdn,10.044334888458252,-17.13667571558889,-1
23,1,4,00:00:00:00:00:01,0.7181818181818181,0.7220660512522896,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-4.199557840907558,-1
24,1,4,00:00:00:00:00:01,0.9545454545454546,0.9565280472986453,aaltosea1,rohe_test_isntance,experiment1,1700641889.247293,rohe_test_stage,sdn,10.044209003448486,-16.45319108175973,-1
25,1,4,00:00:00:00:00:01,0.990909090909091,0.9862891963945665,aaltosea1,rohe_test_isntance,experiment1,1700641890.252979,rohe_test_stage,sdn,10.045289039611816,-18.00924780919541,-1
26,1,4,00:00:00:00:00:01,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641891.25717,rohe_test_stage,sdn,10.044334888458252,-18.724520234386514,-1
32,1,4,00:00:00:00:00:02,0.7155963302752294,0.7229346853563973,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-1.1937113492307314,-1
33,1,4,00:00:00:00:00:02,0.9541284403669725,0.9553198628094244,aaltosea1,rohe_test_isntance,experiment1,1700641889.247293,rohe_test_stage,sdn,10.044209003448486,-7.810640148855775,-1
34,1,4,00:00:00:00:00:02,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641890.252979,rohe_test_stage,sdn,10.045289039611816,-9.083105460862926,-1
35,1,4,00:00:00:00:00:02,0.9908256880733946,0.994501192961527,aaltosea1,rohe_test_isntance,experiment1,1700641891.25717,rohe_test_stage,sdn,10.044334888458252,-8.925996598353914,-1
40,1,4,00:00:00:00:00:03,0.39622641509433965,0.39678643160008925,aaltosea1,rohe_test_isntance,experiment1,1700641887.235348,rohe_test_stage,sdn,10.04062008857727,-0.6546324495127007,-1
41,1,4,00:00:00:00:00:03,0.7452830188679245,0.7353269359517964,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-1.990032848086424,-1
42,1,4,00:00:00:00:00:03,0.9622641509433962,0.9609090232834933,aaltosea1,rohe_test_isntance,experiment1,1700641889.247293,rohe_test_stage,sdn,10.044209003448486,-9.677793826548825,-1
43,1,4,00:00:00:00:00:03,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641890.252979,rohe_test_stage,sdn,10.045289039611816,-11.010226392555062,-1
44,1,4,00:00:00:00:00:03,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641891.25717,rohe_test_stage,sdn,10.044334888458252,-11.009607406989605,-1
50,1,4,00:00:00:00:00:06,0.7339449541284404,0.7313288600393845,aaltosea1,rohe_test_isntance,experiment1,1700641888.240889,rohe_test_stage,sdn,10.039855003356934,-3.9537126686828152,-1
51,1,4,00:00:00:00:00:06,0.9724770642201835,0.9804536503537306,aaltosea1,rohe_test_isntance,experiment1,1700641889.247293,rohe_test_stage,sdn,10.044209003448486,-16.796944006288562,-1
52,1,4,00:00:00:00:00:06,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700641890.252979,rohe_test_stage,sdn,10.045289039611816,-17.805349817902073,-1
53,1,4,00:00:00:00:00:06,0.9908256880733946,0.9946211071402523,aaltosea1,rohe_test_isntance,experiment1,1700641891.25717,rohe_test_stage,sdn,10.044334888458252,-17.527215439287282,-1
56,2,1,00:00:00:00:00:02,0.02247191011235955,0.023706410429918348,aaltosea1,rohe_test_isntance,experiment1,1700641885.230313,rohe_test_stage,sdn,10.04519009590149,-0.15003333420482212,-1
