,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName
8,1,1,00:00:00:00:00:04,6740,10183704,aaltosea1,rohe_test_isntance,experiment1,1700834557,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,6740,10183704,aaltosea1,rohe_test_isntance,experiment1,1700834558,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,6740,10183704,aaltosea1,rohe_test_isntance,experiment1,1700834559,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,6740,10183704,aaltosea1,rohe_test_isntance,experiment1,1700834560,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,6740,10183704,aaltosea1,rohe_test_isntance,experiment1,1700834561,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,6894,10416552,aaltosea1,rohe_test_isntance,experiment1,1700834562,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,6894,10416552,aaltosea1,rohe_test_isntance,experiment1,1700834563,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,6894,10416552,aaltosea1,rohe_test_isntance,experiment1,1700834564,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,6894,10416552,aaltosea1,rohe_test_isntance,experiment1,1700834565,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,6894,10416552,aaltosea1,rohe_test_isntance,experiment1,1700834566,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,6894,10416552,aaltosea1,rohe_test_isntance,experiment1,1700834567,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,6894,10416552,aaltosea1,rohe_test_isntance,experiment1,1700834568,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,6894,10416552,aaltosea1,rohe_test_isntance,experiment1,1700834569,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,6894,10416552,aaltosea1,rohe_test_isntance,experiment1,1700834570,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,6894,10416552,aaltosea1,rohe_test_isntance,experiment1,1700834571,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,6894,10416552,aaltosea1,rohe_test_isntance,experiment1,1700834572,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,7015,10599504,aaltosea1,rohe_test_isntance,experiment1,1700834573,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,7015,10599504,aaltosea1,rohe_test_isntance,experiment1,1700834574,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,7015,10599504,aaltosea1,rohe_test_isntance,experiment1,1700834575,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,7015,10599504,aaltosea1,rohe_test_isntance,experiment1,1700834576,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,7015,10599504,aaltosea1,rohe_test_isntance,experiment1,1700834577,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,7015,10599504,aaltosea1,rohe_test_isntance,experiment1,1700834578,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,7015,10599504,aaltosea1,rohe_test_isntance,experiment1,1700834579,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,7015,10599504,aaltosea1,rohe_test_isntance,experiment1,1700834580,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,7015,10599504,aaltosea1,rohe_test_isntance,experiment1,1700834581,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,7015,10599504,aaltosea1,rohe_test_isntance,experiment1,1700834582,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,7015,10599504,aaltosea1,rohe_test_isntance,experiment1,1700834583,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,7149,10800642,aaltosea1,rohe_test_isntance,experiment1,1700834584,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,7149,10800642,aaltosea1,rohe_test_isntance,experiment1,1700834585,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,7319,11057682,aaltosea1,rohe_test_isntance,experiment1,1700834586,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,7579,11450802,aaltosea1,rohe_test_isntance,experiment1,1700834587,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,7872,11893818,aaltosea1,rohe_test_isntance,experiment1,1700834588,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,7872,11893818,aaltosea1,rohe_test_isntance,experiment1,1700834589,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,8026,12126666,aaltosea1,rohe_test_isntance,experiment1,1700834590,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,8172,12347418,aaltosea1,rohe_test_isntance,experiment1,1700834591,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,9577,14471778,aaltosea1,rohe_test_isntance,experiment1,1700834592,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,11653,17607750,aaltosea1,rohe_test_isntance,experiment1,1700834593,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,13271,20054166,aaltosea1,rohe_test_isntance,experiment1,1700834594,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,13440,20309694,aaltosea1,rohe_test_isntance,experiment1,1700834595,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,13564,20497182,aaltosea1,rohe_test_isntance,experiment1,1700834596,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,13705,20708904,aaltosea1,rohe_test_isntance,experiment1,1700834597,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,13838,20910000,aaltosea1,rohe_test_isntance,experiment1,1700834598,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,13960,21094464,aaltosea1,rohe_test_isntance,experiment1,1700834599,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,14104,21312192,aaltosea1,rohe_test_isntance,experiment1,1700834600,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,14225,21495144,aaltosea1,rohe_test_isntance,experiment1,1700834601,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,14351,21685656,aaltosea1,rohe_test_isntance,experiment1,1700834602,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,14504,21916992,aaltosea1,rohe_test_isntance,experiment1,1700834603,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,14632,22110528,aaltosea1,rohe_test_isntance,experiment1,1700834604,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,14765,22311624,aaltosea1,rohe_test_isntance,experiment1,1700834605,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,14899,22514232,aaltosea1,rohe_test_isntance,experiment1,1700834606,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,15001,22668456,aaltosea1,rohe_test_isntance,experiment1,1700834607,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,15133,22868040,aaltosea1,rohe_test_isntance,experiment1,1700834608,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,15274,23081232,aaltosea1,rohe_test_isntance,experiment1,1700834609,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,15389,23253642,aaltosea1,rohe_test_isntance,experiment1,1700834610,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,15518,23448690,aaltosea1,rohe_test_isntance,experiment1,1700834611,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,15657,23658858,aaltosea1,rohe_test_isntance,experiment1,1700834612,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,15754,23805522,aaltosea1,rohe_test_isntance,experiment1,1700834613,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,15907,24036858,aaltosea1,rohe_test_isntance,experiment1,1700834614,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,16051,24254586,aaltosea1,rohe_test_isntance,experiment1,1700834615,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,16173,24439050,aaltosea1,rohe_test_isntance,experiment1,1700834616,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,16305,24638634,aaltosea1,rohe_test_isntance,experiment1,1700834617,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,16427,24823098,aaltosea1,rohe_test_isntance,experiment1,1700834618,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,16562,25027218,aaltosea1,rohe_test_isntance,experiment1,1700834619,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,16687,25216218,aaltosea1,rohe_test_isntance,experiment1,1700834620,rohe_test_stage,sdn
10,1,1,00:00:00:00:00:04,16798,25382580,aaltosea1,rohe_test_isntance,experiment1,1700834621,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,17075,25801404,aaltosea1,rohe_test_isntance,experiment1,1700834622,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,17075,25801404,aaltosea1,rohe_test_isntance,experiment1,1700834623,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,17597,26590668,aaltosea1,rohe_test_isntance,experiment1,1700834624,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,17719,26775132,aaltosea1,rohe_test_isntance,experiment1,1700834625,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,17845,26965644,aaltosea1,rohe_test_isntance,experiment1,1700834626,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,17965,27147084,aaltosea1,rohe_test_isntance,experiment1,1700834627,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,18099,27349692,aaltosea1,rohe_test_isntance,experiment1,1700834628,rohe_test_stage,sdn
