,Unnamed: 0.1,index,Unnamed: 0,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName,runtime,packet_count_shifted,packet_count_Average,byte_count_shifted,byte_count_Average,byte_count_Average_norm,packet_count_Average_norm,byte_scores,packet_scores,byte_anomaly,packet_anomaly
0,0,5061,3,2,2,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834504,rohe_test_stage,sdn,10,0,0.0,0,0.0,0.0,0.0,-0.2249854344016735,-0.22019302876124647,-1,-1
1,1,5062,3,2,2,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834505,rohe_test_stage,sdn,11,0,0.0,0,0.0,0.0,0.0,-0.18418335136079234,-0.1793909457203653,-1,-1
2,2,5063,3,2,2,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834506,rohe_test_stage,sdn,12,0,0.0,0,0.0,0.0,0.0,-0.18194822852577042,-0.17715582288534337,-1,-1
3,3,5064,3,2,2,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834507,rohe_test_stage,sdn,13,0,0.0,0,0.0,0.0,0.0,-0.21910726861004504,-0.214314862969618,-1,-1
4,4,5065,3,2,2,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834508,rohe_test_stage,sdn,14,0,0.0,0,0.0,0.0,0.0,-0.21910726861004504,-0.214314862969618,-1,-1
5,5,5066,3,2,2,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834509,rohe_test_stage,sdn,15,0,0.0,0,0.0,0.0,0.0,-0.21910726861004504,-0.214314862969618,-1,-1
6,6,5067,3,2,2,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834510,rohe_test_stage,sdn,16,0,0.0,0,0.0,0.0,0.0,-0.21910726861004504,-0.214314862969618,-1,-1
7,7,5068,3,2,2,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834511,rohe_test_stage,sdn,17,0,0.0,0,0.0,0.0,0.0,-0.2142458107590497,-0.20973012001860647,-1,-1
8,8,5069,3,2,2,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834512,rohe_test_stage,sdn,18,0,0.0,0,0.0,0.0,0.0,-0.2142458107590497,-0.20973012001860647,-1,-1
9,9,5070,3,2,2,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834513,rohe_test_stage,sdn,19,0,0.0,0,0.0,0.0,0.0,-0.2142458107590497,-0.20973012001860647,-1,-1
10,10,5071,3,2,2,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834514,rohe_test_stage,sdn,20,0,0.0,0,0.0,0.0,0.0,-0.2142458107590497,-0.20973012001860647,-1,-1
11,11,5072,3,2,2,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834515,rohe_test_stage,sdn,21,0,0.0,0,0.0,0.0,0.0,-0.2142458107590497,-0.20973012001860647,-1,-1
12,12,5073,3,2,2,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834516,rohe_test_stage,sdn,22,0,0.0,0,0.0,0.0,0.0,-0.21366401912233346,-0.20856655801861457,-1,-1
13,13,5074,3,2,2,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834517,rohe_test_stage,sdn,23,0,0.0,0,0.0,0.0,0.0,-0.21366401912233346,-0.20856655801861457,-1,-1
14,14,5075,3,2,2,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834518,rohe_test_stage,sdn,24,0,0.0,0,0.0,0.0,0.0,-0.21366401912233346,-0.20856655801861457,-1,-1
