,Unnamed: 0.1,index,Unnamed: 0,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName,runtime,packet_count_shifted,packet_count_Average,byte_count_shifted,byte_count_Average,byte_count_Average_norm,packet_count_Average_norm,byte_scores,packet_scores,byte_anomaly,packet_anomaly
0,0,7725,6,2,5,00:00:00:00:00:05,538,812534,aaltosea1,rohe_test_isntance,experiment1,1700834539,rohe_test_stage,sdn,10,373,331.6,563976,500549.4,0.0199696109467951,0.0200005891189725,-0.23866473656876097,-0.24404590381745728,-1,-1
1,1,7726,6,2,5,00:00:00:00:00:05,700,1057478,aaltosea1,rohe_test_isntance,experiment1,1700834540,rohe_test_stage,sdn,11,535,368.6,808920,556585.6,0.022700066870496,0.0227252643671389,-0.21333362240001696,-0.21871478964871327,-1,-1
2,2,7727,7,2,5,00:00:00:00:00:05,2630,3974168,aaltosea1,rohe_test_isntance,experiment1,1700834541,rohe_test_stage,sdn,12,2465,598.6,3725610,904290.8,0.0396425740897867,0.0396624348287136,-0.22647129178827585,-0.23185245903697216,-1,-1
3,3,7728,7,2,5,00:00:00:00:00:05,5359,8097476,aaltosea1,rohe_test_isntance,experiment1,1700834542,rohe_test_stage,sdn,13,5194,1101.5,7848918,1664326.8,0.0766765770811739,0.0766959262423046,-0.22359609784206913,-0.22897726509076544,-1,-1
4,4,7729,7,2,5,00:00:00:00:00:05,6900,10427468,aaltosea1,rohe_test_isntance,experiment1,1700834543,rohe_test_stage,sdn,14,6557,1722.9,9909774,2603534.8,0.122441030188046,0.1224557424371852,-0.1639678291754444,-0.16450442534847476,-1,-1
5,5,7730,7,2,5,00:00:00:00:00:05,6900,10427468,aaltosea1,rohe_test_isntance,experiment1,1700834544,rohe_test_stage,sdn,15,6557,2344.3,9909774,3542742.8,0.1682054832949182,0.1682155586320657,-0.16687322434258156,-0.17120640602457304,-1,-1
6,6,7731,7,2,5,00:00:00:00:00:05,6900,10427468,aaltosea1,rohe_test_isntance,experiment1,1700834545,rohe_test_stage,sdn,16,6557,2965.7,9909774,4481950.8,0.2139699364017903,0.2139753748269462,-0.163160918015832,-0.16704987270618954,-1,-1
7,7,7732,7,2,5,00:00:00:00:00:05,6900,10427468,aaltosea1,rohe_test_isntance,experiment1,1700834546,rohe_test_stage,sdn,17,6557,3587.1,9909774,5421158.8,0.2597343895086625,0.2597351910218268,-0.163160918015832,-0.16704987270618954,-1,-1
8,8,7733,7,2,5,00:00:00:00:00:05,6900,10427468,aaltosea1,rohe_test_isntance,experiment1,1700834547,rohe_test_stage,sdn,18,6362,4169.5,9614934,6301398.8,0.3026255299192991,0.3026230522253969,-0.163160918015832,-0.16704987270618954,-1,-1
9,9,7734,7,2,5,00:00:00:00:00:05,6900,10427468,aaltosea1,rohe_test_isntance,experiment1,1700834548,rohe_test_stage,sdn,19,6362,4751.9,9614934,7181638.8,0.3455166703299357,0.3455109134289669,-0.163160918015832,-0.16704987270618954,-1,-1
10,10,7735,7,2,5,00:00:00:00:00:05,6900,10427468,aaltosea1,rohe_test_isntance,experiment1,1700834549,rohe_test_stage,sdn,20,6362,5350.8,9614934,8086734.6,0.3896189504386304,0.3896138325134761,-0.16210380978459882,-0.16599498603693708,-1,-1
11,11,7736,7,2,5,00:00:00:00:00:05,6900,10427468,aaltosea1,rohe_test_isntance,experiment1,1700834550,rohe_test_stage,sdn,21,6200,5917.3,9369990,8942841.6,0.431334170768914,0.4313308197590503,-0.16210380978459882,-0.16599498603693708,-1,-1
12,12,7737,7,2,5,00:00:00:00:00:05,6900,10427468,aaltosea1,rohe_test_isntance,experiment1,1700834551,rohe_test_stage,sdn,22,4270,6097.8,6453300,9215610.6,0.4446252885080181,0.4446228165778079,-0.16210380978459882,-0.16599498603693708,-1,-1
13,13,7738,7,2,5,00:00:00:00:00:05,6900,10427468,aaltosea1,rohe_test_isntance,experiment1,1700834553,rohe_test_stage,sdn,24,1541,5732.5,2329992,8663718.0,0.4177334147029293,0.4177221714925329,-0.16210380978459882,-0.16599498603693708,-1,-1
14,14,7739,7,2,5,00:00:00:00:00:05,6900,10427468,aaltosea1,rohe_test_isntance,experiment1,1700834554,rohe_test_stage,sdn,25,0,5076.8,0,7672740.6,0.3694464125135633,0.3694365077027305,-0.15735384956223097,-0.16125500807629833,-1,-1
15,15,7740,7,2,5,00:00:00:00:00:05,6900,10427468,aaltosea1,rohe_test_isntance,experiment1,1700834555,rohe_test_stage,sdn,26,0,4421.1,0,6681763.2,0.3211594103241972,0.3211508439129282,-0.15735384956223097,-0.16125500807629833,-1,-1
16,16,7741,7,2,5,00:00:00:00:00:05,6900,10427468,aaltosea1,rohe_test_isntance,experiment1,1700834556,rohe_test_stage,sdn,27,0,3765.4,0,5690785.8,0.2728724081348312,0.2728651801231259,-0.15578174079387475,-0.1596862031674393,-1,-1
17,17,7742,7,2,5,00:00:00:00:00:05,6900,10427468,aaltosea1,rohe_test_isntance,experiment1,1700834557,rohe_test_stage,sdn,28,0,3109.7,0,4699808.4,0.2245854059454652,0.2245795163333235,-0.15578174079387475,-0.1596862031674393,-1,-1
18,18,7743,9,2,5,00:00:00:00:00:05,7050,10654268,aaltosea1,rohe_test_isntance,experiment1,1700834558,rohe_test_stage,sdn,29,150,2488.5,226800,3760995.0,0.1788401803719998,0.1788344281127573,-0.15578174079387475,-0.1596862031674393,-1,-1
