,Unnamed: 0.1,index,Unnamed: 0,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName,runtime,packet_count_shifted,packet_count_Average,byte_count_shifted,byte_count_Average,byte_count_Average_norm,packet_count_Average_norm,byte_scores,packet_scores,byte_anomaly,packet_anomaly
0,0,3876,0,2,1,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834504,rohe_test_stage,sdn,10,0,0.0,0,0.0,0.0,0.0,-0.2357558171992845,-0.226953713628131,-1,-1
1,1,3877,0,2,1,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834505,rohe_test_stage,sdn,11,0,0.0,0,0.0,0.0,0.0,-0.19383534022496562,-0.1850332366538121,-1,-1
2,2,3878,0,2,1,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834506,rohe_test_stage,sdn,12,0,0.0,0,0.0,0.0,0.0,-0.19104663448425507,-0.18224453091310155,-1,-1
3,3,3879,0,2,1,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834507,rohe_test_stage,sdn,13,0,0.0,0,0.0,0.0,0.0,-0.22812272353951346,-0.21932061996835994,-1,-1
4,4,3880,0,2,1,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834508,rohe_test_stage,sdn,14,0,0.0,0,0.0,0.0,0.0,-0.22812272353951346,-0.21932061996835994,-1,-1
5,5,3881,0,2,1,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834509,rohe_test_stage,sdn,15,0,0.0,0,0.0,0.0,0.0,-0.22812272353951346,-0.21932061996835994,-1,-1
6,6,3882,0,2,1,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834510,rohe_test_stage,sdn,16,0,0.0,0,0.0,0.0,0.0,-0.22812272353951346,-0.21932061996835994,-1,-1
7,7,3883,0,2,1,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834511,rohe_test_stage,sdn,17,0,0.0,0,0.0,0.0,0.0,-0.2235482152217082,-0.21582250819129,-1,-1
8,8,3884,0,2,1,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834512,rohe_test_stage,sdn,18,0,0.0,0,0.0,0.0,0.0,-0.2235482152217082,-0.21582250819129,-1,-1
9,9,3885,0,2,1,00:00:00:00:00:02,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834513,rohe_test_stage,sdn,19,2,0.2,84,8.4,4.529205286229599e-05,0.0010649627263045,-0.2235482152217082,-0.21582250819129,-1,-1
10,10,3886,0,2,1,00:00:00:00:00:02,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834514,rohe_test_stage,sdn,20,2,0.4,84,16.8,9.058410572459198e-05,0.0021299254526091,-0.2235482152217082,-0.21582250819129,-1,-1
11,11,3887,0,2,1,00:00:00:00:00:02,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834515,rohe_test_stage,sdn,21,2,0.6,84,25.2,0.0001358761585868,0.0031948881789137,-0.2235482152217082,-0.21582250819129,-1,-1
12,12,3888,0,2,1,00:00:00:00:00:02,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834516,rohe_test_stage,sdn,22,2,0.8,84,33.6,0.0001811682114491,0.0042598509052183,-0.22238725066947074,-0.21524100815084857,-1,-1
13,13,3889,0,2,1,00:00:00:00:00:02,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834517,rohe_test_stage,sdn,23,2,1.0,84,42.0,0.0002264602643114,0.0053248136315228,-0.22238725066947074,-0.21118261442263864,-1,-1
14,14,3890,0,2,1,00:00:00:00:00:02,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834518,rohe_test_stage,sdn,24,2,1.2,84,50.4,0.0002717523171737,0.0063897763578274,-0.22238725066947074,-0.20587656350429107,-1,-1
15,15,3891,0,2,1,00:00:00:00:00:02,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834519,rohe_test_stage,sdn,25,2,1.4,84,58.8,0.000317044370036,0.007454739084132,-0.22238725066947074,-0.20032840679053165,-1,-1
16,16,3892,0,2,1,00:00:00:00:00:02,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834520,rohe_test_stage,sdn,26,2,1.6,84,67.2,0.0003623364228983,0.0085197018104366,-0.22238725066947074,-0.20032840679053165,-1,-1
17,17,3893,0,2,1,00:00:00:00:00:02,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834521,rohe_test_stage,sdn,27,2,1.8,84,75.6,0.0004076284757606,0.0095846645367412,-0.22238725066947074,-0.19748283710422565,-1,-1
18,18,3894,0,2,1,00:00:00:00:00:02,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834522,rohe_test_stage,sdn,28,2,2.0,84,84.0,0.0004529205286229,0.0106496272630457,-0.22238725066947074,-0.19748283710422565,-1,-1
19,19,3895,0,2,1,00:00:00:00:00:02,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834523,rohe_test_stage,sdn,29,0,1.8,0,75.6,0.0004076284757606,0.0095846645367412,-0.22238725066947074,-0.19748283710422565,-1,-1
