,Unnamed: 0.1,index,Unnamed: 0,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName,runtime,packet_count_shifted,packet_count_Average,byte_count_shifted,byte_count_Average,byte_count_Average_norm,packet_count_Average_norm,byte_scores,packet_scores,byte_anomaly,packet_anomaly
0,0,1186,6,1,4,00:00:00:00:00:01,10,8666,aaltosea1,rohe_test_isntance,experiment1,1700834502,rohe_test_stage,sdn,10,10,5.699999999999999,8666,5510.599999999998,0.0726915113871634,0.0805687203791468,-0.22863829399995284,-0.2209757673236743,-1,-1
1,1,1187,6,1,4,00:00:00:00:00:01,11,10178,aaltosea1,rohe_test_isntance,experiment1,1700834503,rohe_test_stage,sdn,11,8,5.399999999999999,6564,5657.599999999998,0.0803002070393373,0.0663507109004738,-0.17649435685870118,-0.17234359122948506,-1,-1
2,2,1188,6,1,4,00:00:00:00:00:01,11,10178,aaltosea1,rohe_test_isntance,experiment1,1700834504,rohe_test_stage,sdn,12,8,5.199999999999999,6564,5745.599999999998,0.084855072463768,0.0568720379146919,-0.17317892576516347,-0.16847414614071798,-1,-1
3,3,1189,6,1,4,00:00:00:00:00:01,11,10178,aaltosea1,rohe_test_isntance,experiment1,1700834505,rohe_test_stage,sdn,13,8,5.0,6564,5951.599999999998,0.0955175983436851,0.0473933649289099,-0.22097100680495796,-0.21333698534947942,-1,-1
4,4,1190,6,1,4,00:00:00:00:00:01,11,10178,aaltosea1,rohe_test_isntance,experiment1,1700834506,rohe_test_stage,sdn,14,8,4.800000000000001,6564,6006.400000000001,0.0983540372670807,0.0379146919431279,-0.22097100680495796,-0.21333698534947942,-1,-1
5,5,1191,6,1,4,00:00:00:00:00:01,11,10178,aaltosea1,rohe_test_isntance,experiment1,1700834507,rohe_test_stage,sdn,15,1,4.600000000000001,1512,5766.2,0.0859213250517598,0.028436018957346,-0.19386216124731082,-0.21333698534947942,-1,-1
6,6,1192,7,1,4,00:00:00:00:00:01,14,12870,aaltosea1,rohe_test_isntance,experiment1,1700834508,rohe_test_stage,sdn,16,4,4.399999999999999,4204,5820.999999999999,0.0887577639751552,0.0189573459715639,-0.20643329604127936,-0.21333698534947942,-1,-1
7,7,1193,7,1,4,00:00:00:00:00:01,14,12870,aaltosea1,rohe_test_isntance,experiment1,1700834509,rohe_test_stage,sdn,17,4,4.699999999999999,4204,5938.999999999999,0.0948654244306417,0.0331753554502369,-0.2180417649739249,-0.21100143481123612,-1,-1
8,8,1194,7,1,4,00:00:00:00:00:01,14,12870,aaltosea1,rohe_test_isntance,experiment1,1700834510,rohe_test_stage,sdn,18,4,5.0,4204,5820.999999999999,0.0887577639751552,0.0473933649289099,-0.20355810209507263,-0.21100143481123612,-1,-1
9,9,1195,7,1,4,00:00:00:00:00:01,17,15014,aaltosea1,rohe_test_isntance,experiment1,1700834511,rohe_test_stage,sdn,19,7,5.300000000000001,6348,5492.799999999998,0.0717701863354036,0.0616113744075829,-0.21687311978258217,-0.1874590431570271,-1,-1
10,10,1196,7,1,4,00:00:00:00:00:01,17,15014,aaltosea1,rohe_test_isntance,experiment1,1700834512,rohe_test_stage,sdn,20,7,5.5,6348,5492.799999999998,0.0717701863354036,0.0710900473933649,-0.21687311978258217,-0.19827956767285881,-1,-1
11,11,1197,8,1,4,00:00:00:00:00:01,17,15014,aaltosea1,rohe_test_isntance,experiment1,1700834513,rohe_test_stage,sdn,21,6,5.800000000000001,4836,5492.799999999998,0.0717701863354036,0.0853080568720379,-0.21687311978258217,-0.2080917662745294,-1,-1
12,12,1198,8,1,4,00:00:00:00:00:01,17,15014,aaltosea1,rohe_test_isntance,experiment1,1700834514,rohe_test_stage,sdn,22,6,5.800000000000001,4836,5433.799999999998,0.0687163561076603,0.0853080568720379,-0.2157062144356816,-0.20751113195417226,-1,-1
13,13,1199,8,1,4,00:00:00:00:00:01,21,19218,aaltosea1,rohe_test_isntance,experiment1,1700834515,rohe_test_stage,sdn,23,10,5.800000000000001,9040,5374.799999999998,0.0656625258799171,0.0853080568720379,-0.2157062144356816,-0.20751113195417226,-1,-1
14,14,1200,8,1,4,00:00:00:00:00:01,21,19218,aaltosea1,rohe_test_isntance,experiment1,1700834516,rohe_test_stage,sdn,24,10,5.800000000000001,9040,5618.2,0.0782608695652174,0.0853080568720379,-0.19955077971062307,-0.20751113195417226,-1,-1
15,15,1201,8,1,4,00:00:00:00:00:01,21,19218,aaltosea1,rohe_test_isntance,experiment1,1700834517,rohe_test_stage,sdn,25,10,5.800000000000001,9040,6097.599999999998,0.1030745341614905,0.0853080568720379,-0.2180417649739249,-0.20751113195417226,-1,-1
16,16,1202,8,1,4,00:00:00:00:00:01,21,19218,aaltosea1,rohe_test_isntance,experiment1,1700834518,rohe_test_stage,sdn,26,7,6.100000000000001,6348,6458.999999999999,0.1217805383022773,0.0995260663507109,-0.20521469567575945,-0.1993603674218637,-1,-1
