,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName,scores,anomaly
1,1,3,00:00:00:00:00:04,776,1171842,aaltosea1,rohe_test_isntance,experiment1,10.038284063339233,rohe_test_stage,sdn,-0.6499999809754256,-1
3,1,3,00:00:00:00:00:04,239,361368,aaltosea1,rohe_test_isntance,experiment1,10.03685212135315,rohe_test_stage,sdn,-101942.31918673593,-1
4,1,3,00:00:00:00:00:04,920,1389570,aaltosea1,rohe_test_isntance,experiment1,10.031291961669922,rohe_test_stage,sdn,-30774.7711280227,-1
8,1,3,00:00:00:00:00:04,7519,11365788,aaltosea1,rohe_test_isntance,experiment1,10.023698806762695,rohe_test_stage,sdn,-0.771004565165653,-1
10,1,4,00:00:00:00:00:01,1,1512,aaltosea1,rohe_test_isntance,experiment1,10.03685212135315,rohe_test_stage,sdn,-1161.3577079447157,-1
12,1,4,00:00:00:00:00:01,6,4836,aaltosea1,rohe_test_isntance,experiment1,10.034535884857178,rohe_test_stage,sdn,-67.66258158088002,-1
17,1,4,00:00:00:00:00:01,21,19592,aaltosea1,rohe_test_isntance,experiment1,10.03896713256836,rohe_test_stage,sdn,-0.7774431795459851,-1
20,1,4,00:00:00:00:00:06,58,57096,aaltosea1,rohe_test_isntance,experiment1,10.0278799533844,rohe_test_stage,sdn,-0.9999767422721533,-1
1,1,2,00:00:00:00:00:04,3458,5225556,aaltosea1,rohe_test_isntance,experiment1,10.028505802154541,rohe_test_stage,sdn,-0.08682499207016381,-1
3,1,2,00:00:00:00:00:04,1220,1843170,aaltosea1,rohe_test_isntance,experiment1,10.038633823394775,rohe_test_stage,sdn,-2.99999139412581,-1
6,1,2,00:00:00:00:00:04,2576,3893442,aaltosea1,rohe_test_isntance,experiment1,10.028203964233398,rohe_test_stage,sdn,-0.5160818712223634,-1
11,1,3,00:00:00:00:00:04,2508,3792096,aaltosea1,rohe_test_isntance,experiment1,10.03006911277771,rohe_test_stage,sdn,-0.089285697556859,-1
12,1,3,00:00:00:00:00:04,776,1171842,aaltosea1,rohe_test_isntance,experiment1,10.038284063339233,rohe_test_stage,sdn,-0.6499999809754256,-1
13,1,3,00:00:00:00:00:04,2340,3538080,aaltosea1,rohe_test_isntance,experiment1,10.042255878448486,rohe_test_stage,sdn,-1.5952335903767185,-1
19,1,4,00:00:00:00:00:01,-850,-848650,aaltosea1,rohe_test_isntance,experiment1,12.046092748641968,rohe_test_stage,sdn,-493.32918286725607,-1
22,1,4,00:00:00:00:00:01,19,19508,aaltosea1,rohe_test_isntance,experiment1,10.031015157699585,rohe_test_stage,sdn,-0.7339147393009506,-1
34,1,4,00:00:00:00:00:02,-822,-802652,aaltosea1,rohe_test_isntance,experiment1,13.036088228225708,rohe_test_stage,sdn,-535.7947376930674,-1
47,2,1,00:00:00:00:00:02,2,84,aaltosea1,rohe_test_isntance,experiment1,10.031631231307983,rohe_test_stage,sdn,-0.15893169026215404,-1
51,2,1,00:00:00:00:00:02,10,4804,aaltosea1,rohe_test_isntance,experiment1,10.040358781814575,rohe_test_stage,sdn,-300.88130505281987,-1
58,2,1,00:00:00:00:00:07,13,11732,aaltosea1,rohe_test_isntance,experiment1,10.039145946502686,rohe_test_stage,sdn,-0.366660524806649,-1
59,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,10.031631231307983,rohe_test_stage,sdn,-0.15893169026215404,-1
65,2,1,00:00:00:00:00:08,18,17074,aaltosea1,rohe_test_isntance,experiment1,10.034219980239868,rohe_test_stage,sdn,-658.459564367283,-1
66,2,1,00:00:00:00:00:08,23,21694,aaltosea1,rohe_test_isntance,experiment1,10.03476095199585,rohe_test_stage,sdn,-0.6388836634643762,-1
69,2,1,00:00:00:00:00:08,19,18960,aaltosea1,rohe_test_isntance,experiment1,10.039870977401733,rohe_test_stage,sdn,-0.9675082539796405,-1
70,2,1,00:00:00:00:00:08,-810,-798686,aaltosea1,rohe_test_isntance,experiment1,14.035753011703491,rohe_test_stage,sdn,-2.0856685024157047,-1
71,2,1,00:00:00:00:00:08,23,21320,aaltosea1,rohe_test_isntance,experiment1,10.03819990158081,rohe_test_stage,sdn,-0.6388852032026904,-1
72,2,2,00:00:00:00:00:02,1,42,aaltosea1,rohe_test_isntance,experiment1,10.02134084701538,rohe_test_stage,sdn,-0.6590426643672656,-1
78,2,2,00:00:00:00:00:02,1,42,aaltosea1,rohe_test_isntance,experiment1,10.027384996414185,rohe_test_stage,sdn,-1.3605414982460702,-1
1,1,2,00:00:00:00:00:04,3458,5225556,aaltosea1,rohe_test_isntance,experiment1,10.028505802154541,rohe_test_stage,sdn,-0.08682499207016381,-1
4,1,2,00:00:00:00:00:04,-47485,-71764058,aaltosea1,rohe_test_isntance,experiment1,13.032871961593628,rohe_test_stage,sdn,-1.264705860839448,-1
6,1,2,00:00:00:00:00:04,-47485,-71764058,aaltosea1,rohe_test_isntance,experiment1,13.032610177993774,rohe_test_stage,sdn,-1.264705860874741,-1
7,1,2,00:00:00:00:00:04,-47482,-71759522,aaltosea1,rohe_test_isntance,experiment1,13.034786939620972,rohe_test_stage,sdn,-1.1764705679009388,-1
