,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName,scores,anomaly
1,1,3,00:00:00:00:00:04,1021,1542282,aaltosea1,rohe_test_isntance,experiment1,10.035102128982544,rohe_test_stage,sdn,-35574078.72853042,-1
2,1,3,00:00:00:00:00:04,776,1171842,aaltosea1,rohe_test_isntance,experiment1,10.038284063339233,rohe_test_stage,sdn,-0.649999999999987,-1
4,1,3,00:00:00:00:00:04,2598,3928176,aaltosea1,rohe_test_isntance,experiment1,10.030368089675903,rohe_test_stage,sdn,-0.29425675675675333,-1
8,1,3,00:00:00:00:00:04,2577,3896424,aaltosea1,rohe_test_isntance,experiment1,10.030220031738281,rohe_test_stage,sdn,-0.023076923076919442,-1
9,1,4,00:00:00:00:00:01,20,21020,aaltosea1,rohe_test_isntance,experiment1,10.0450439453125,rohe_test_stage,sdn,-21.48894852829907,-1
11,1,4,00:00:00:00:00:01,20,21020,aaltosea1,rohe_test_isntance,experiment1,10.03006911277771,rohe_test_stage,sdn,-1.5156541762715774,-1
16,1,4,00:00:00:00:00:01,20,21020,aaltosea1,rohe_test_isntance,experiment1,10.031625032424927,rohe_test_stage,sdn,-0.10735936926794132,-1
20,1,4,00:00:00:00:00:06,34,34264,aaltosea1,rohe_test_isntance,experiment1,10.027384996414185,rohe_test_stage,sdn,-5.314203516941307,-1
5,1,2,00:00:00:00:00:04,1157,1749384,aaltosea1,rohe_test_isntance,experiment1,10.036693096160889,rohe_test_stage,sdn,-0.24999999999964784,-1
8,1,2,00:00:00:00:00:04,376,567590,aaltosea1,rohe_test_isntance,experiment1,10.035199880599976,rohe_test_stage,sdn,-12308738.072591133,-1
9,1,3,00:00:00:00:00:04,2633,3981096,aaltosea1,rohe_test_isntance,experiment1,10.032953262329102,rohe_test_stage,sdn,-0.35846554719165624,-1
10,1,3,00:00:00:00:00:04,537,810474,aaltosea1,rohe_test_isntance,experiment1,10.03105092048645,rohe_test_stage,sdn,-3602092.2256222637,-1
13,1,3,00:00:00:00:00:04,2442,3690834,aaltosea1,rohe_test_isntance,experiment1,10.036088943481445,rohe_test_stage,sdn,-0.48376623376621963,-1
19,1,4,00:00:00:00:00:01,33,32204,aaltosea1,rohe_test_isntance,experiment1,10.027384996414185,rohe_test_stage,sdn,-3.4081746920465186,-1
20,1,4,00:00:00:00:00:01,66,65504,aaltosea1,rohe_test_isntance,experiment1,10.021783113479614,rohe_test_stage,sdn,-0.6563559321786139,-1
21,1,4,00:00:00:00:00:01,22,21652,aaltosea1,rohe_test_isntance,experiment1,10.036088943481445,rohe_test_stage,sdn,-6819.27034348258,-1
28,1,4,00:00:00:00:00:02,-820,-801472,aaltosea1,rohe_test_isntance,experiment1,13.04244089126587,rohe_test_stage,sdn,-0.25000000000781153,-1
29,1,4,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,10.036571741104126,rohe_test_stage,sdn,-0.9012239674404241,-1
30,1,4,00:00:00:00:00:02,6,3540,aaltosea1,rohe_test_isntance,experiment1,10.040358781814575,rohe_test_stage,sdn,-1270337.5054707245,-1
33,1,4,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,10.033401012420654,rohe_test_stage,sdn,-0.05009014088792796,-1
34,1,4,00:00:00:00:00:02,16,14050,aaltosea1,rohe_test_isntance,experiment1,10.039145946502686,rohe_test_stage,sdn,-0.5069889725185113,-1
36,1,4,00:00:00:00:00:06,24,24302,aaltosea1,rohe_test_isntance,experiment1,10.033936023712158,rohe_test_stage,sdn,-0.3760918432270195,-1
45,2,1,00:00:00:00:00:02,19,18586,aaltosea1,rohe_test_isntance,experiment1,10.035571098327637,rohe_test_stage,sdn,-0.14341085175053947,-1
47,2,1,00:00:00:00:00:02,11,8334,aaltosea1,rohe_test_isntance,experiment1,10.035102128982544,rohe_test_stage,sdn,-52539.30453953854,-1
49,2,1,00:00:00:00:00:02,-825,-811798,aaltosea1,rohe_test_isntance,experiment1,14.03606104850769,rohe_test_stage,sdn,-117920.64775996815,-1
50,2,1,00:00:00:00:00:02,2,84,aaltosea1,rohe_test_isntance,experiment1,10.034702062606812,rohe_test_stage,sdn,-2.1290180479812104,-1
53,2,1,00:00:00:00:00:02,2,84,aaltosea1,rohe_test_isntance,experiment1,10.034535884857178,rohe_test_stage,sdn,-2.0208813505877146,-1
54,2,1,00:00:00:00:00:07,-801,-792828,aaltosea1,rohe_test_isntance,experiment1,14.03606104850769,rohe_test_stage,sdn,-1.6222344856877267,-1
58,2,1,00:00:00:00:00:07,22,23122,aaltosea1,rohe_test_isntance,experiment1,10.0450439453125,rohe_test_stage,sdn,-211462.61973890004,-1
60,2,1,00:00:00:00:00:07,-801,-792828,aaltosea1,rohe_test_isntance,experiment1,14.035753011703491,rohe_test_stage,sdn,-2.211516014918017,-1
61,2,1,00:00:00:00:00:07,13,11732,aaltosea1,rohe_test_isntance,experiment1,10.039145946502686,rohe_test_stage,sdn,-0.5116841560984664,-1
62,2,1,00:00:00:00:00:07,57,56506,aaltosea1,rohe_test_isntance,experiment1,10.037652015686035,rohe_test_stage,sdn,-1.3534795889792628,-1
67,2,1,00:00:00:00:00:08,0,0,aaltosea1,rohe_test_isntance,experiment1,10.027384996414185,rohe_test_stage,sdn,-0.14305784283374123,-1
70,2,1,00:00:00:00:00:08,0,0,aaltosea1,rohe_test_isntance,experiment1,10.034116983413696,rohe_test_stage,sdn,-0.06404659943842805,-1
5,1,2,00:00:00:00:00:04,376,567590,aaltosea1,rohe_test_isntance,experiment1,10.035199880599976,rohe_test_stage,sdn,-12308738.072591133,-1
7,1,2,00:00:00:00:00:04,1928,2913666,aaltosea1,rohe_test_isntance,experiment1,10.027384996414185,rohe_test_stage,sdn,-4.424064857922613,-1
15,1,3,00:00:00:00:00:04,2322,3510864,aaltosea1,rohe_test_isntance,experiment1,10.035030841827393,rohe_test_stage,sdn,-3.458333333330642,-1
16,1,3,00:00:00:00:00:04,6762,10221204,aaltosea1,rohe_test_isntance,experiment1,10.0278799533844,rohe_test_stage,sdn,-0.4712947737184523,-1
20,1,4,00:00:00:00:00:01,68,67606,aaltosea1,rohe_test_isntance,experiment1,10.02134084701538,rohe_test_stage,sdn,-1.1672549726454866,-1
22,1,4,00:00:00:00:00:01,68,67606,aaltosea1,rohe_test_isntance,experiment1,10.024639129638672,rohe_test_stage,sdn,-1.1672549726452708,-1
26,1,4,00:00:00:00:00:01,20,21020,aaltosea1,rohe_test_isntance,experiment1,10.0450439453125,rohe_test_stage,sdn,-21.48894852829907,-1
27,1,4,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,10.033401012420654,rohe_test_stage,sdn,-0.05009014088792796,-1
28,1,4,00:00:00:00:00:02,-820,-801472,aaltosea1,rohe_test_isntance,experiment1,13.039896965026855,rohe_test_stage,sdn,-0.10714285714152849,-1
30,1,4,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,10.036571741104126,rohe_test_stage,sdn,-0.9012239674404241,-1
34,1,4,00:00:00:00:00:02,20,19550,aaltosea1,rohe_test_isntance,experiment1,10.040570974349976,rohe_test_stage,sdn,-7220.479205628792,-1
35,1,4,00:00:00:00:00:02,23,21694,aaltosea1,rohe_test_isntance,experiment1,10.030220031738281,rohe_test_stage,sdn,-1.0985154825705425,-1
37,1,4,00:00:00:00:00:03,25,23422,aaltosea1,rohe_test_isntance,experiment1,10.032339811325073,rohe_test_stage,sdn,-0.4573405195718385,-1
