,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName,scores,anomaly
87,1,5,00:00:00:00:00:04,1547,2339064,aaltosea1,rohe_test_isntance,experiment1,10.03621506690979,rohe_test_stage,sdn,0.30984556358374604,1
88,1,5,00:00:00:00:00:04,1722,2603664,aaltosea1,rohe_test_isntance,experiment1,10.034552097320557,rohe_test_stage,sdn,-0.8833332240863596,-1
89,1,5,00:00:00:00:00:04,1328,2007936,aaltosea1,rohe_test_isntance,experiment1,10.02852201461792,rohe_test_stage,sdn,0.4999999557535002,1
90,2,1,00:00:00:00:00:02,20,21020,aaltosea1,rohe_test_isntance,experiment1,10.029961109161377,rohe_test_stage,sdn,-0.1887487445259599,-1
91,2,1,00:00:00:00:00:02,18,18918,aaltosea1,rohe_test_isntance,experiment1,10.02727484703064,rohe_test_stage,sdn,0.5852967444747077,1
92,2,1,00:00:00:00:00:02,18,18918,aaltosea1,rohe_test_isntance,experiment1,10.034083843231201,rohe_test_stage,sdn,-0.019462151469845423,-1
93,2,1,00:00:00:00:00:02,21,19592,aaltosea1,rohe_test_isntance,experiment1,10.021842002868652,rohe_test_stage,sdn,0.6872390547670499,1
94,2,1,00:00:00:00:00:02,19,19508,aaltosea1,rohe_test_isntance,experiment1,10.032071113586426,rohe_test_stage,sdn,-0.40819228674408614,-1
95,2,1,00:00:00:00:00:02,18,18918,aaltosea1,rohe_test_isntance,experiment1,10.034552097320557,rohe_test_stage,sdn,-0.22869046879252286,-1
96,2,1,00:00:00:00:00:02,21,18670,aaltosea1,rohe_test_isntance,experiment1,10.01968002319336,rohe_test_stage,sdn,0.42609115272081155,1
97,2,1,00:00:00:00:00:02,20,20098,aaltosea1,rohe_test_isntance,experiment1,10.03662896156311,rohe_test_stage,sdn,0.5,1
98,2,1,00:00:00:00:00:02,21,20688,aaltosea1,rohe_test_isntance,experiment1,10.030280828475952,rohe_test_stage,sdn,0.6984441478848357,1
99,2,1,00:00:00:00:00:07,21,21062,aaltosea1,rohe_test_isntance,experiment1,10.021827220916748,rohe_test_stage,sdn,0.6007354174647115,1
100,2,1,00:00:00:00:00:07,14,16558,aaltosea1,rohe_test_isntance,experiment1,10.03662896156311,rohe_test_stage,sdn,-2.4465886916894184,-1
101,2,1,00:00:00:00:00:07,20,19550,aaltosea1,rohe_test_isntance,experiment1,10.035753965377808,rohe_test_stage,sdn,0.3475929820044703,1
102,2,1,00:00:00:00:00:07,21,19218,aaltosea1,rohe_test_isntance,experiment1,10.035195112228394,rohe_test_stage,sdn,0.5425898309693782,1
103,2,1,00:00:00:00:00:07,21,21062,aaltosea1,rohe_test_isntance,experiment1,10.019614934921265,rohe_test_stage,sdn,0.5919719697713859,1
104,2,1,00:00:00:00:00:07,19,18038,aaltosea1,rohe_test_isntance,experiment1,10.02190637588501,rohe_test_stage,sdn,0.5,1
105,2,1,00:00:00:00:00:07,16,15894,aaltosea1,rohe_test_isntance,experiment1,10.022135972976685,rohe_test_stage,sdn,0.5326179796352558,1
106,2,1,00:00:00:00:00:07,15,18070,aaltosea1,rohe_test_isntance,experiment1,10.03211522102356,rohe_test_stage,sdn,0.5,1
107,2,1,00:00:00:00:00:07,20,19550,aaltosea1,rohe_test_isntance,experiment1,10.034409046173096,rohe_test_stage,sdn,0.5644862216505611,1
108,2,1,00:00:00:00:00:08,19,19508,aaltosea1,rohe_test_isntance,experiment1,10.038546085357666,rohe_test_stage,sdn,-1.0372376099585345,-1
109,2,1,00:00:00:00:00:08,16,17738,aaltosea1,rohe_test_isntance,experiment1,10.034608840942383,rohe_test_stage,sdn,0.5752512657176072,1
110,2,1,00:00:00:00:00:08,21,21610,aaltosea1,rohe_test_isntance,experiment1,10.034905195236206,rohe_test_stage,sdn,0.5589378024867823,1
111,2,1,00:00:00:00:00:08,25,22500,aaltosea1,rohe_test_isntance,experiment1,10.017866849899292,rohe_test_stage,sdn,0.5007016495501423,1
112,2,1,00:00:00:00:00:08,19,19508,aaltosea1,rohe_test_isntance,experiment1,10.03621506690979,rohe_test_stage,sdn,-0.28401688120656865,-1
113,2,1,00:00:00:00:00:08,20,19550,aaltosea1,rohe_test_isntance,experiment1,10.032071113586426,rohe_test_stage,sdn,0.5,1
114,2,1,00:00:00:00:00:08,21,19218,aaltosea1,rohe_test_isntance,experiment1,10.02190637588501,rohe_test_stage,sdn,-0.5826436349581741,-1
115,2,1,00:00:00:00:00:08,16,17738,aaltosea1,rohe_test_isntance,experiment1,10.033032178878784,rohe_test_stage,sdn,0.5752512657176072,1
116,2,1,00:00:00:00:00:08,18,18918,aaltosea1,rohe_test_isntance,experiment1,10.03211784362793,rohe_test_stage,sdn,0.5359919971536715,1
117,2,2,00:00:00:00:00:02,22,20730,aaltosea1,rohe_test_isntance,experiment1,10.020317077636719,rohe_test_stage,sdn,-5.715095445722046,-1
118,2,2,00:00:00:00:00:02,21,21610,aaltosea1,rohe_test_isntance,experiment1,10.032991170883179,rohe_test_stage,sdn,0.5446260981375521,1
119,2,2,00:00:00:00:00:02,20,18080,aaltosea1,rohe_test_isntance,experiment1,10.02217698097229,rohe_test_stage,sdn,0.554567551783752,1
120,2,2,00:00:00:00:00:02,21,20140,aaltosea1,rohe_test_isntance,experiment1,10.032822847366333,rohe_test_stage,sdn,0.5446260981375521,1
121,2,2,00:00:00:00:00:02,20,19550,aaltosea1,rohe_test_isntance,experiment1,10.03621506690979,rohe_test_stage,sdn,-7.357149645913159,-1
122,2,2,00:00:00:00:00:02,20,19550,aaltosea1,rohe_test_isntance,experiment1,10.029685020446777,rohe_test_stage,sdn,0.3878336020316573,1
123,2,2,00:00:00:00:00:02,20,20098,aaltosea1,rohe_test_isntance,experiment1,10.037424802780151,rohe_test_stage,sdn,0.552569593386298,1
124,2,2,00:00:00:00:00:02,21,20140,aaltosea1,rohe_test_isntance,experiment1,10.019614934921265,rohe_test_stage,sdn,0.5,1
125,2,2,00:00:00:00:00:02,19,18038,aaltosea1,rohe_test_isntance,experiment1,10.030417203903198,rohe_test_stage,sdn,0.5,1
126,2,2,00:00:00:00:00:07,18,17996,aaltosea1,rohe_test_isntance,experiment1,10.030493974685669,rohe_test_stage,sdn,-8.66700430501428,-1
127,2,2,00:00:00:00:00:07,19,19508,aaltosea1,rohe_test_isntance,experiment1,10.035195112228394,rohe_test_stage,sdn,0.05907730644032583,1
128,2,2,00:00:00:00:00:07,19,19508,aaltosea1,rohe_test_isntance,experiment1,10.030813932418823,rohe_test_stage,sdn,0.05963000596131396,1
129,2,2,00:00:00:00:00:07,20,20098,aaltosea1,rohe_test_isntance,experiment1,10.033351182937622,rohe_test_stage,sdn,0.2337281445326438,1
