,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName,time,scores,anomaly
2,1,2,00:00:00:00:00:04,0.5288808272146674,0.5288763999965216,aaltosea1,rohe_test_isntance,experiment1,1700564147.69312,rohe_test_stage,sdn,10.036777973175049,-0.16531164880763471,-1
7,1,2,00:00:00:00:00:04,0.5286853195464222,0.5286808016914482,aaltosea1,rohe_test_isntance,experiment1,1700564145.6894,rohe_test_stage,sdn,10.040546894073486,-0.16875459259087577,-1
8,1,2,00:00:00:00:00:04,0.5288047964547943,0.528800333988993,aaltosea1,rohe_test_isntance,experiment1,1700564146.6917272,rohe_test_stage,sdn,10.037842273712158,-0.5005313955932662,-1
53,1,4,00:00:00:00:00:06,0.0005991611743559018,0.0,aaltosea1,rohe_test_isntance,experiment1,1700564172.766963,rohe_test_stage,sdn,12.040091037750244,-0.16422233811553433,-1
35,1,4,00:00:00:00:00:02,0.5120444718962323,0.5101907629887171,aaltosea1,rohe_test_isntance,experiment1,1700564169.755705,rohe_test_stage,sdn,10.033750057220459,-0.10251930999023129,-1
54,2,1,00:00:00:00:00:02,0.5079559363525091,0.5070154101254446,aaltosea1,rohe_test_isntance,experiment1,1700564242.0065138,rohe_test_stage,sdn,10.036162614822388,-0.16657626638937417,-1
9,1,3,00:00:00:00:00:04,0.5160922798778302,0.5160908039286769,aaltosea1,rohe_test_isntance,experiment1,1700564225.953645,rohe_test_stage,sdn,10.036984920501709,-0.09812878859985519,-1
33,1,4,00:00:00:00:00:02,0.5085889570552147,0.5066344978818589,aaltosea1,rohe_test_isntance,experiment1,1700564169.755705,rohe_test_stage,sdn,10.033750057220459,-0.10251930297682899,-1
87,2,2,00:00:00:00:00:02,0.5165644171779141,0.5166619150307015,aaltosea1,rohe_test_isntance,experiment1,1700564156.7107708,rohe_test_stage,sdn,10.019043684005737,-0.2777808049008377,-1
88,2,2,00:00:00:00:00:02,0.5177914110429448,0.5174029190534741,aaltosea1,rohe_test_isntance,experiment1,1700564157.715008,rohe_test_stage,sdn,10.021888017654419,-0.05541138747172503,-1
43,1,4,00:00:00:00:00:03,0.5070257611241218,0.5063760646512112,aaltosea1,rohe_test_isntance,experiment1,1700564248.027166,rohe_test_stage,sdn,10.036975860595703,-0.10198841748665943,-1
16,1,3,00:00:00:00:00:04,0.0,0.0,aaltosea1,rohe_test_isntance,experiment1,1700564172.766963,rohe_test_stage,sdn,12.040091037750244,-0.17420045999641776,-1
55,2,1,00:00:00:00:00:02,0.5024213075060533,0.5016838293259755,aaltosea1,rohe_test_isntance,experiment1,1700564254.046481,rohe_test_stage,sdn,10.033016920089722,-0.16350024303107258,-1
86,2,2,00:00:00:00:00:02,0.5006075334143378,0.5000261440512324,aaltosea1,rohe_test_isntance,experiment1,1700564206.885215,rohe_test_stage,sdn,10.027628183364868,-0.10118752049412705,-1
11,1,3,00:00:00:00:00:04,0.4999575826343305,0.4999601507300652,aaltosea1,rohe_test_isntance,experiment1,1700564260.0792,rohe_test_stage,sdn,10.044389247894287,-0.1667376537104266,-1
50,1,4,00:00:00:00:00:06,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700564275.122227,rohe_test_stage,sdn,10.030719995498657,-0.11009013847540472,-1
82,2,1,00:00:00:00:00:08,0.0,0.0,aaltosea1,rohe_test_isntance,experiment1,1700564280.142177,rohe_test_stage,sdn,10.033894300460815,-0.09933550477727371,-1
89,2,1,00:00:00:00:00:08,0.02247191011235955,0.0009778584899071035,aaltosea1,rohe_test_isntance,experiment1,1700564200.871215,rohe_test_stage,sdn,10.029618263244629,-0.16934204216593018,-1
