,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName,time,scores,anomaly
71,2,1,00:00:00:00:00:07,0.5137908915971777,0.5137172166944424,aaltosea1,rohe_test_isntance,experiment1,1700564169.755705,rohe_test_stage,sdn,10.033750057220459,-0.1726984069577493,-1
73,2,1,00:00:00:00:00:08,0.5171102661596958,0.5147793745845065,aaltosea1,rohe_test_isntance,experiment1,1700564169.755705,rohe_test_stage,sdn,10.033750057220459,-0.17269992953034374,-1
9,1,3,00:00:00:00:00:04,0.5082876501883924,0.5082895837626941,aaltosea1,rohe_test_isntance,experiment1,1700564238.993846,rohe_test_stage,sdn,10.032320022583008,-0.10255423151711529,-1
46,1,4,00:00:00:00:00:06,0.5047058823529412,0.5050505645510923,aaltosea1,rohe_test_isntance,experiment1,1700564184.817141,rohe_test_stage,sdn,10.045761108398438,-0.1661327405548314,-1
47,1,4,00:00:00:00:00:06,0.5076470588235295,0.506788279203031,aaltosea1,rohe_test_isntance,experiment1,1700564182.805883,rohe_test_stage,sdn,10.038919925689697,-0.11216843883831906,-1
52,1,4,00:00:00:00:00:06,0.5047058823529412,0.5050505645510923,aaltosea1,rohe_test_isntance,experiment1,1700564183.811002,rohe_test_stage,sdn,10.043195962905884,-0.10000903367707936,-1
11,1,3,00:00:00:00:00:04,0.5044247317539573,0.5044205835940874,aaltosea1,rohe_test_isntance,experiment1,1700564199.8675,rohe_test_stage,sdn,10.028524160385132,-0.17057328108732617,-1
16,1,3,00:00:00:00:00:04,0.5025656007648996,0.5025610251763829,aaltosea1,rohe_test_isntance,experiment1,1700564198.863293,rohe_test_stage,sdn,10.030536890029907,-0.16692853393842366,-1
49,1,4,00:00:00:00:00:06,0.5073313782991202,0.504376087564021,aaltosea1,rohe_test_isntance,experiment1,1700564169.755705,rohe_test_stage,sdn,10.033750057220459,-0.10251917760422824,-1
30,1,4,00:00:00:00:00:02,0.00364741641337386,0.0022043796165873964,aaltosea1,rohe_test_isntance,experiment1,1700564173.767806,rohe_test_stage,sdn,13.040934085845947,-0.1011450009534085,-1
31,1,4,00:00:00:00:00:02,0.5003039513677812,0.5001836983013823,aaltosea1,rohe_test_isntance,experiment1,1700564183.811002,rohe_test_stage,sdn,10.043195962905884,-0.10028461480190565,-1
37,1,4,00:00:00:00:00:03,0.005244755244755245,0.003996048744722033,aaltosea1,rohe_test_isntance,experiment1,1700564177.786844,rohe_test_stage,sdn,17.059972047805786,-0.1643782309399997,-1
47,1,4,00:00:00:00:00:06,0.5049620548744892,0.502982316863263,aaltosea1,rohe_test_isntance,experiment1,1700564169.755705,rohe_test_stage,sdn,10.033750057220459,-0.42237925366319007,-1
51,1,4,00:00:00:00:00:06,0.5061295971978984,0.5042129470255282,aaltosea1,rohe_test_isntance,experiment1,1700564168.749753,rohe_test_stage,sdn,10.033262014389038,-0.6327753356554027,-1
48,1,4,00:00:00:00:00:06,0.002331002331002331,0.0005215151362443644,aaltosea1,rohe_test_isntance,experiment1,1700564175.7766788,rohe_test_stage,sdn,12.043834686279297,-0.4034670194196055,-1
45,1,4,00:00:00:00:00:06,1.0,1.0,aaltosea1,rohe_test_isntance,experiment1,1700564275.122227,rohe_test_stage,sdn,10.030719995498657,-0.10924119063721349,-1
