,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName,scores,anomaly
160,1,4,00:00:00:00:00:03,2,2102,aaltosea1,rohe_test_isntance,experiment1,1.005141019821167,rohe_test_stage,sdn,-0.14438281147658083,-1
161,1,4,00:00:00:00:00:03,2,1554,aaltosea1,rohe_test_isntance,experiment1,1.0025250911712646,rohe_test_stage,sdn,-4253.679857262453,-1
170,1,4,00:00:00:00:00:03,2,2102,aaltosea1,rohe_test_isntance,experiment1,1.0064399242401123,rohe_test_stage,sdn,-1.5219580269076625,-1
181,1,4,00:00:00:00:00:06,0,0,aaltosea1,rohe_test_isntance,experiment1,1.0013678073883057,rohe_test_stage,sdn,-0.2813559322068384,-1
189,1,4,00:00:00:00:00:06,2,2102,aaltosea1,rohe_test_isntance,experiment1,1.005141019821167,rohe_test_stage,sdn,-0.14438281147658083,-1
200,1,4,00:00:00:00:00:06,3,2144,aaltosea1,rohe_test_isntance,experiment1,1.0034229755401611,rohe_test_stage,sdn,-40985.676040274404,-1
218,1,4,00:00:00:00:00:07,1,1512,aaltosea1,rohe_test_isntance,experiment1,1.005141019821167,rohe_test_stage,sdn,-0.3170520133473318,-1
219,1,4,00:00:00:00:00:07,5,3324,aaltosea1,rohe_test_isntance,experiment1,1.0025250911712646,rohe_test_stage,sdn,-119061.16439657066,-1
223,1,4,00:00:00:00:00:07,2,2102,aaltosea1,rohe_test_isntance,experiment1,1.0063629150390625,rohe_test_stage,sdn,-1.249154166134406,-1
228,1,4,00:00:00:00:00:07,6,4836,aaltosea1,rohe_test_isntance,experiment1,1.0064399242401123,rohe_test_stage,sdn,-0.4462025316474938,-1
234,1,4,00:00:00:00:00:08,2,1180,aaltosea1,rohe_test_isntance,experiment1,1.00624418258667,rohe_test_stage,sdn,-51607.80901316043,-1
246,1,4,00:00:00:00:00:08,2,2102,aaltosea1,rohe_test_isntance,experiment1,1.0044848918914795,rohe_test_stage,sdn,-0.04712422193283272,-1
247,1,4,00:00:00:00:00:08,2,2102,aaltosea1,rohe_test_isntance,experiment1,1.005141019821167,rohe_test_stage,sdn,-0.14438281147658083,-1
249,1,4,00:00:00:00:00:08,2,2102,aaltosea1,rohe_test_isntance,experiment1,1.0016279220581055,rohe_test_stage,sdn,-0.4134430347870026,-1
252,1,4,00:00:00:00:00:08,2,2102,aaltosea1,rohe_test_isntance,experiment1,1.0063629150390625,rohe_test_stage,sdn,-1.249154166134406,-1
253,1,4,00:00:00:00:00:08,1,1512,aaltosea1,rohe_test_isntance,experiment1,1.0044488906860352,rohe_test_stage,sdn,-3.1741945909227063,-1
260,1,4,00:00:00:00:00:08,4,3282,aaltosea1,rohe_test_isntance,experiment1,1.0037548542022705,rohe_test_stage,sdn,-107447.19025961707,-1
277,1,5,00:00:00:00:00:04,303,456666,aaltosea1,rohe_test_isntance,experiment1,1.0025250911712646,rohe_test_stage,sdn,-1.7675925925925502,-1
278,1,5,00:00:00:00:00:04,226,341712,aaltosea1,rohe_test_isntance,experiment1,1.0016279220581055,rohe_test_stage,sdn,-0.4999999999999998,-1
280,1,5,00:00:00:00:00:04,180,272160,aaltosea1,rohe_test_isntance,experiment1,1.0026180744171143,rohe_test_stage,sdn,-0.39999999999941416,-1
293,2,1,00:00:00:00:00:02,2,2102,aaltosea1,rohe_test_isntance,experiment1,1.0033800601959229,rohe_test_stage,sdn,-0.14356397463890325,-1
311,2,1,00:00:00:00:00:02,2,2102,aaltosea1,rohe_test_isntance,experiment1,1.0044488906860352,rohe_test_stage,sdn,-0.43104490382898186,-1
318,2,1,00:00:00:00:00:02,3,2144,aaltosea1,rohe_test_isntance,experiment1,1.0037548542022705,rohe_test_stage,sdn,-54470.46639516835,-1
344,2,1,00:00:00:00:00:07,7,5052,aaltosea1,rohe_test_isntance,experiment1,1.0064399242401123,rohe_test_stage,sdn,-1.0000000000034595,-1
349,2,1,00:00:00:00:00:08,1,1512,aaltosea1,rohe_test_isntance,experiment1,1.0010969638824463,rohe_test_stage,sdn,-0.16144803231647242,-1
363,2,1,00:00:00:00:00:08,2,1554,aaltosea1,rohe_test_isntance,experiment1,1.005141019821167,rohe_test_stage,sdn,-12912.118104969964,-1
368,2,1,00:00:00:00:00:08,2,2102,aaltosea1,rohe_test_isntance,experiment1,1.0063629150390625,rohe_test_stage,sdn,-1.0654711831754589,-1
374,2,1,00:00:00:00:00:08,2,2102,aaltosea1,rohe_test_isntance,experiment1,1.0034229755401611,rohe_test_stage,sdn,-0.1594344931633176,-1
378,2,2,00:00:00:00:00:02,1,1512,aaltosea1,rohe_test_isntance,experiment1,1.0010969638824463,rohe_test_stage,sdn,-0.02411261504734563,-1
379,2,2,00:00:00:00:00:02,2,1180,aaltosea1,rohe_test_isntance,experiment1,1.00624418258667,rohe_test_stage,sdn,-50235.62058100368,-1
382,2,2,00:00:00:00:00:02,3,2144,aaltosea1,rohe_test_isntance,experiment1,1.0057098865509033,rohe_test_stage,sdn,-39962.868982919004,-1
394,2,2,00:00:00:00:00:02,2,2102,aaltosea1,rohe_test_isntance,experiment1,1.0016279220581055,rohe_test_stage,sdn,-0.403537378329204,-1
397,2,2,00:00:00:00:00:02,1,1512,aaltosea1,rohe_test_isntance,experiment1,1.0063629150390625,rohe_test_stage,sdn,-1.2058727628537658,-1
399,2,2,00:00:00:00:00:02,5,3872,aaltosea1,rohe_test_isntance,experiment1,1.0045251846313477,rohe_test_stage,sdn,-174306.19778064688,-1
421,2,2,00:00:00:00:00:07,1,1512,aaltosea1,rohe_test_isntance,experiment1,1.005141019821167,rohe_test_stage,sdn,-0.3170520133473318,-1
422,2,2,00:00:00:00:00:07,5,3324,aaltosea1,rohe_test_isntance,experiment1,1.0025250911712646,rohe_test_stage,sdn,-119061.16439657066,-1
426,2,2,00:00:00:00:00:07,2,2102,aaltosea1,rohe_test_isntance,experiment1,1.0063629150390625,rohe_test_stage,sdn,-1.249154166134406,-1
431,2,2,00:00:00:00:00:07,6,4836,aaltosea1,rohe_test_isntance,experiment1,1.0064399242401123,rohe_test_stage,sdn,-0.4462025316474938,-1
437,2,2,00:00:00:00:00:08,2,1180,aaltosea1,rohe_test_isntance,experiment1,1.00624418258667,rohe_test_stage,sdn,-51607.80901316043,-1
449,2,2,00:00:00:00:00:08,2,2102,aaltosea1,rohe_test_isntance,experiment1,1.0044848918914795,rohe_test_stage,sdn,-0.04712422193283272,-1
450,2,2,00:00:00:00:00:08,2,2102,aaltosea1,rohe_test_isntance,experiment1,1.005141019821167,rohe_test_stage,sdn,-0.14438281147658083,-1
452,2,2,00:00:00:00:00:08,2,2102,aaltosea1,rohe_test_isntance,experiment1,1.0016279220581055,rohe_test_stage,sdn,-0.4134430347870026,-1
455,2,2,00:00:00:00:00:08,2,2102,aaltosea1,rohe_test_isntance,experiment1,1.0063629150390625,rohe_test_stage,sdn,-1.249154166134406,-1
456,2,2,00:00:00:00:00:08,1,1512,aaltosea1,rohe_test_isntance,experiment1,1.0044488906860352,rohe_test_stage,sdn,-3.1741945909227063,-1
463,2,2,00:00:00:00:00:08,4,3282,aaltosea1,rohe_test_isntance,experiment1,1.0037548542022705,rohe_test_stage,sdn,-107447.19025961707,-1
480,2,3,00:00:00:00:00:04,303,456666,aaltosea1,rohe_test_isntance,experiment1,1.0025250911712646,rohe_test_stage,sdn,-1.7675925925925502,-1
481,2,3,00:00:00:00:00:04,226,341712,aaltosea1,rohe_test_isntance,experiment1,1.0016279220581055,rohe_test_stage,sdn,-0.4999999999999998,-1
483,2,3,00:00:00:00:00:04,180,272160,aaltosea1,rohe_test_isntance,experiment1,1.0026180744171143,rohe_test_stage,sdn,-0.39999999999941416,-1
493,2,3,00:00:00:00:00:05,159,240408,aaltosea1,rohe_test_isntance,experiment1,1.0007688999176025,rohe_test_stage,sdn,-0.7499999999953557,-1
500,2,3,00:00:00:00:00:05,154,232848,aaltosea1,rohe_test_isntance,experiment1,1.0013678073883057,rohe_test_stage,sdn,-1350177.0956760396,-1
509,2,3,00:00:00:00:00:05,214,323568,aaltosea1,rohe_test_isntance,experiment1,1.0025250911712646,rohe_test_stage,sdn,-1.6842105263156792,-1
511,2,3,00:00:00:00:00:05,167,252504,aaltosea1,rohe_test_isntance,experiment1,1.0057461261749268,rohe_test_stage,sdn,-0.3571428571424231,-1
513,2,3,00:00:00:00:00:05,156,235872,aaltosea1,rohe_test_isntance,experiment1,1.0063629150390625,rohe_test_stage,sdn,-1350177.0956797216,-1
516,2,3,00:00:00:00:00:05,136,205632,aaltosea1,rohe_test_isntance,experiment1,1.0008580684661865,rohe_test_stage,sdn,-953985.9700516734,-1
523,2,4,00:00:00:00:00:04,140,211680,aaltosea1,rohe_test_isntance,experiment1,1.0010969638824463,rohe_test_stage,sdn,-0.9999999999978586,-1
534,2,4,00:00:00:00:00:04,180,272160,aaltosea1,rohe_test_isntance,experiment1,1.0024611949920654,rohe_test_stage,sdn,-0.41394247204796564,-1
538,2,4,00:00:00:00:00:04,284,429408,aaltosea1,rohe_test_isntance,experiment1,1.0025250911712646,rohe_test_stage,sdn,-22.49999999998522,-1
543,2,4,00:00:00:00:00:04,176,266112,aaltosea1,rohe_test_isntance,experiment1,1.0044488906860352,rohe_test_stage,sdn,-3605335.493408904,-1
557,2,4,00:00:00:00:00:05,193,291816,aaltosea1,rohe_test_isntance,experiment1,1.002737045288086,rohe_test_stage,sdn,-3936551.962411619,-1
567,2,4,00:00:00:00:00:05,389,588168,aaltosea1,rohe_test_isntance,experiment1,1.0025250911712646,rohe_test_stage,sdn,-3.532258064516074,-1
569,2,4,00:00:00:00:00:05,256,387072,aaltosea1,rohe_test_isntance,experiment1,1.0057461261749268,rohe_test_stage,sdn,-0.4090909090908508,-1
575,2,4,00:00:00:00:00:05,156,235872,aaltosea1,rohe_test_isntance,experiment1,1.0012009143829346,rohe_test_stage,sdn,-0.3124999999999065,-1
576,2,4,00:00:00:00:00:05,180,272160,aaltosea1,rohe_test_isntance,experiment1,1.0064399242401123,rohe_test_stage,sdn,-0.999999999998094,-1
