time,value,measurement
2023-08-03 07:15:03.092000+00:00,2,hbw_status_code
2023-08-03 07:15:05.112000+00:00,2,hbw_status_code
2023-08-03 07:15:07.140000+00:00,2,hbw_status_code
2023-08-03 07:15:09.170000+00:00,2,hbw_status_code
2023-08-03 07:15:11.200000+00:00,2,hbw_status_code
2023-08-03 07:15:13.221000+00:00,2,hbw_status_code
2023-08-03 07:15:15.249000+00:00,2,hbw_status_code
2023-08-03 07:15:17.277000+00:00,2,hbw_status_code
2023-08-03 07:15:19.303000+00:00,2,hbw_status_code
2023-08-03 07:15:21.326000+00:00,2,hbw_status_code
2023-08-03 07:15:23.353000+00:00,2,hbw_status_code
2023-08-03 07:15:25.380000+00:00,2,hbw_status_code
2023-08-03 07:15:27.406000+00:00,2,hbw_status_code
2023-08-03 07:15:29.428000+00:00,2,hbw_status_code
2023-08-03 07:15:31.455000+00:00,2,hbw_status_code
2023-08-03 07:15:33.479000+00:00,2,hbw_status_code
2023-08-03 07:15:35.509000+00:00,2,hbw_status_code
2023-08-03 07:15:37.539000+00:00,2,hbw_status_code
2023-08-03 07:15:39.566000+00:00,2,hbw_status_code
2023-08-03 07:15:41.587000+00:00,2,hbw_status_code
2023-08-03 07:15:43.606000+00:00,2,hbw_status_code
2023-08-03 07:15:45.628000+00:00,2,hbw_status_code
2023-08-03 07:15:47.657000+00:00,2,hbw_status_code
2023-08-03 07:15:49.684000+00:00,2,hbw_status_code
2023-08-03 07:15:51.704000+00:00,2,hbw_status_code
2023-08-03 07:15:53.732000+00:00,2,hbw_status_code
2023-08-03 07:15:55.758000+00:00,2,hbw_status_code
2023-08-03 07:15:57.781000+00:00,2,hbw_status_code
2023-08-03 07:15:59.810000+00:00,2,hbw_status_code
2023-08-03 07:16:01.836000+00:00,2,hbw_status_code
2023-08-03 07:16:03.857000+00:00,2,hbw_status_code
2023-08-03 07:16:05.883000+00:00,2,hbw_status_code
2023-08-03 07:16:07.913000+00:00,2,hbw_status_code
2023-08-03 07:16:09.937000+00:00,2,hbw_status_code
2023-08-03 07:16:11.962000+00:00,2,hbw_status_code
2023-08-03 07:16:13.985000+00:00,2,hbw_status_code
2023-08-03 07:16:16.014000+00:00,2,hbw_status_code
2023-08-03 07:16:18.035000+00:00,2,hbw_status_code
2023-08-03 07:16:20.055000+00:00,2,hbw_status_code
2023-08-03 07:16:22.074000+00:00,2,hbw_status_code
2023-08-03 07:16:24.103000+00:00,2,hbw_status_code
2023-08-03 07:16:26.125000+00:00,2,hbw_status_code
2023-08-03 07:16:28.152000+00:00,2,hbw_status_code
2023-08-03 07:16:30.181000+00:00,2,hbw_status_code
2023-08-03 07:16:32.206000+00:00,2,hbw_status_code
2023-08-03 07:16:34.232000+00:00,2,hbw_status_code
2023-08-03 07:16:36.253000+00:00,2,hbw_status_code
2023-08-03 07:16:38.270000+00:00,2,hbw_status_code
2023-08-03 07:16:40.293000+00:00,2,hbw_status_code
2023-08-03 07:16:42.316000+00:00,2,hbw_status_code
2023-08-03 07:16:44.337000+00:00,2,hbw_status_code
2023-08-03 07:16:46.360000+00:00,2,hbw_status_code
2023-08-03 07:16:48.390000+00:00,2,hbw_status_code
2023-08-03 07:16:50.420000+00:00,2,hbw_status_code
2023-08-03 07:16:52.451000+00:00,2,hbw_status_code
2023-08-03 07:16:54.479000+00:00,2,hbw_status_code
2023-08-03 07:16:56.504000+00:00,2,hbw_status_code
2023-08-03 07:16:58.520000+00:00,2,hbw_status_code
2023-08-03 07:17:00.548000+00:00,2,hbw_status_code
2023-08-03 07:17:02.569000+00:00,2,hbw_status_code
2023-08-03 07:17:04.594000+00:00,2,hbw_status_code
2023-08-03 07:17:06.622000+00:00,2,hbw_status_code
2023-08-03 07:17:08.646000+00:00,2,hbw_status_code
2023-08-03 07:17:10.673000+00:00,2,hbw_status_code
2023-08-03 07:17:12.700000+00:00,2,hbw_status_code
2023-08-03 07:17:14.737000+00:00,2,hbw_status_code
2023-08-03 07:17:16.754000+00:00,2,hbw_status_code
2023-08-03 07:17:18.779000+00:00,2,hbw_status_code
2023-08-03 07:17:20.805000+00:00,2,hbw_status_code
2023-08-03 07:17:22.825000+00:00,2,hbw_status_code
2023-08-03 07:17:24.855000+00:00,2,hbw_status_code
2023-08-03 07:17:26.884000+00:00,2,hbw_status_code
2023-08-03 07:17:28.912000+00:00,2,hbw_status_code
2023-08-03 07:17:30.941000+00:00,2,hbw_status_code
2023-08-03 07:17:32.961000+00:00,2,hbw_status_code
2023-08-03 07:17:34.984000+00:00,2,hbw_status_code
2023-08-03 07:17:37.006000+00:00,2,hbw_status_code
2023-08-03 07:17:39.033000+00:00,2,hbw_status_code
2023-08-03 07:17:41.054000+00:00,2,hbw_status_code
2023-08-03 07:17:43.077000+00:00,2,hbw_status_code
2023-08-03 07:17:45.106000+00:00,2,hbw_status_code
2023-08-03 07:17:47.125000+00:00,2,hbw_status_code
2023-08-03 07:17:49.146000+00:00,2,hbw_status_code
2023-08-03 07:17:51.175000+00:00,2,hbw_status_code
2023-08-03 07:17:53.200000+00:00,2,hbw_status_code
2023-08-03 07:17:55.222000+00:00,2,hbw_status_code
2023-08-03 07:17:57.247000+00:00,2,hbw_status_code
2023-08-03 07:17:59.276000+00:00,2,hbw_status_code
2023-08-03 07:18:01.298000+00:00,2,hbw_status_code
2023-08-03 07:18:03.330000+00:00,2,hbw_status_code
2023-08-03 07:18:05.351000+00:00,2,hbw_status_code
2023-08-03 07:18:07.378000+00:00,2,hbw_status_code
2023-08-03 07:18:09.403000+00:00,2,hbw_status_code
2023-08-03 07:18:11.430000+00:00,2,hbw_status_code
2023-08-03 07:18:13.458000+00:00,2,hbw_status_code
2023-08-03 07:18:15.486000+00:00,2,hbw_status_code
2023-08-03 07:18:17.514000+00:00,2,hbw_status_code
2023-08-03 07:18:19.534000+00:00,2,hbw_status_code
2023-08-03 07:18:21.554000+00:00,2,hbw_status_code
2023-08-03 07:18:23.581000+00:00,2,hbw_status_code
2023-08-03 07:18:25.606000+00:00,2,hbw_status_code
2023-08-03 07:18:27.631000+00:00,2,hbw_status_code
2023-08-03 07:18:29.651000+00:00,2,hbw_status_code
2023-08-03 07:18:31.681000+00:00,2,hbw_status_code
2023-08-03 07:18:33.701000+00:00,2,hbw_status_code
2023-08-03 07:18:35.729000+00:00,2,hbw_status_code
2023-08-03 07:18:37.755000+00:00,2,hbw_status_code
2023-08-03 07:18:39.780000+00:00,2,hbw_status_code
2023-08-03 07:18:41.800000+00:00,2,hbw_status_code
2023-08-03 07:18:43.821000+00:00,2,hbw_status_code
2023-08-03 07:18:45.850000+00:00,2,hbw_status_code
2023-08-03 07:18:47.870000+00:00,2,hbw_status_code
2023-08-03 07:18:49.899000+00:00,2,hbw_status_code
2023-08-03 07:18:51.927000+00:00,2,hbw_status_code
2023-08-03 07:18:53.951000+00:00,2,hbw_status_code
2023-08-03 07:18:55.981000+00:00,2,hbw_status_code
2023-08-03 07:18:58.004000+00:00,2,hbw_status_code
2023-08-03 07:19:00.024000+00:00,2,hbw_status_code
2023-08-03 07:19:02.044000+00:00,2,hbw_status_code
2023-08-03 07:19:04.070000+00:00,2,hbw_status_code
2023-08-03 07:19:06.090000+00:00,2,hbw_status_code
2023-08-03 07:19:08.118000+00:00,2,hbw_status_code
2023-08-03 07:19:10.146000+00:00,2,hbw_status_code
2023-08-03 07:19:12.170000+00:00,2,hbw_status_code
2023-08-03 07:19:14.196000+00:00,2,hbw_status_code
2023-08-03 07:19:16.217000+00:00,2,hbw_status_code
2023-08-03 07:19:18.242000+00:00,2,hbw_status_code
2023-08-03 07:19:20.265000+00:00,2,hbw_status_code
2023-08-03 07:19:22.296000+00:00,2,hbw_status_code
2023-08-03 07:19:24.325000+00:00,2,hbw_status_code
2023-08-03 07:19:26.347000+00:00,2,hbw_status_code
2023-08-03 07:19:28.372000+00:00,2,hbw_status_code
2023-08-03 07:19:30.401000+00:00,2,hbw_status_code
2023-08-03 07:19:32.427000+00:00,2,hbw_status_code
2023-08-03 07:19:34.457000+00:00,2,hbw_status_code
2023-08-03 07:19:36.485000+00:00,2,hbw_status_code
2023-08-03 07:19:38.507000+00:00,2,hbw_status_code
2023-08-03 07:19:40.535000+00:00,2,hbw_status_code
2023-08-03 07:19:42.563000+00:00,2,hbw_status_code
2023-08-03 07:19:44.588000+00:00,2,hbw_status_code
2023-08-03 07:19:46.613000+00:00,2,hbw_status_code
2023-08-03 07:19:48.640000+00:00,2,hbw_status_code
2023-08-03 07:19:50.660000+00:00,2,hbw_status_code
2023-08-03 07:19:52.688000+00:00,2,hbw_status_code
2023-08-03 07:19:54.713000+00:00,2,hbw_status_code
2023-08-03 07:19:56.738000+00:00,2,hbw_status_code
2023-08-03 07:19:58.762000+00:00,2,hbw_status_code
2023-08-03 07:20:00.787000+00:00,2,hbw_status_code
2023-08-03 07:20:02.809000+00:00,2,hbw_status_code
2023-08-03 07:20:04.838000+00:00,2,hbw_status_code
2023-08-03 07:20:06.859000+00:00,2,hbw_status_code
2023-08-03 07:20:08.885000+00:00,2,hbw_status_code
2023-08-03 07:20:10.911000+00:00,2,hbw_status_code
2023-08-03 07:20:12.936000+00:00,2,hbw_status_code
2023-08-03 07:20:14.968000+00:00,2,hbw_status_code
2023-08-03 07:20:16.985000+00:00,2,hbw_status_code
2023-08-03 07:20:19.010000+00:00,2,hbw_status_code
2023-08-03 07:20:21.039000+00:00,2,hbw_status_code
2023-08-03 07:20:23.061000+00:00,2,hbw_status_code
2023-08-03 07:20:25.085000+00:00,2,hbw_status_code
2023-08-03 07:20:27.108000+00:00,2,hbw_status_code
2023-08-03 07:20:29.139000+00:00,2,hbw_status_code
2023-08-03 07:20:31.167000+00:00,2,hbw_status_code
2023-08-03 07:20:33.187000+00:00,2,hbw_status_code
2023-08-03 07:20:35.210000+00:00,2,hbw_status_code
2023-08-03 07:20:37.237000+00:00,2,hbw_status_code
2023-08-03 07:20:39.268000+00:00,2,hbw_status_code
2023-08-03 07:20:41.291000+00:00,2,hbw_status_code
2023-08-03 07:20:43.320000+00:00,2,hbw_status_code
2023-08-03 07:20:45.343000+00:00,2,hbw_status_code
2023-08-03 07:20:47.372000+00:00,2,hbw_status_code
2023-08-03 07:20:49.401000+00:00,2,hbw_status_code
2023-08-03 07:20:51.424000+00:00,2,hbw_status_code
2023-08-03 07:20:53.451000+00:00,2,hbw_status_code
2023-08-03 07:20:55.474000+00:00,2,hbw_status_code
2023-08-03 07:20:57.494000+00:00,2,hbw_status_code
2023-08-03 07:20:59.518000+00:00,2,hbw_status_code
2023-08-03 07:21:01.546000+00:00,2,hbw_status_code
2023-08-03 07:21:03.569000+00:00,2,hbw_status_code
2023-08-03 07:21:05.590000+00:00,2,hbw_status_code
2023-08-03 07:21:07.627000+00:00,2,hbw_status_code
2023-08-03 07:21:09.662000+00:00,2,hbw_status_code
2023-08-03 07:21:11.684000+00:00,2,hbw_status_code
2023-08-03 07:21:13.704000+00:00,2,hbw_status_code
2023-08-03 07:21:15.728000+00:00,2,hbw_status_code
2023-08-03 07:21:17.755000+00:00,2,hbw_status_code
2023-08-03 07:21:19.781000+00:00,2,hbw_status_code
2023-08-03 07:21:21.804000+00:00,2,hbw_status_code
2023-08-03 07:21:23.829000+00:00,2,hbw_status_code
2023-08-03 07:21:25.858000+00:00,2,hbw_status_code
2023-08-03 07:21:27.888000+00:00,2,hbw_status_code
2023-08-03 07:21:29.917000+00:00,2,hbw_status_code
2023-08-03 07:21:31.941000+00:00,2,hbw_status_code
2023-08-03 07:21:33.967000+00:00,2,hbw_status_code
2023-08-03 07:21:35.993000+00:00,2,hbw_status_code
2023-08-03 07:21:38.021000+00:00,2,hbw_status_code
2023-08-03 07:21:40.044000+00:00,2,hbw_status_code
2023-08-03 07:21:42.073000+00:00,2,hbw_status_code
2023-08-03 07:21:44.101000+00:00,2,hbw_status_code
2023-08-03 07:21:46.130000+00:00,2,hbw_status_code
2023-08-03 07:21:48.158000+00:00,2,hbw_status_code
2023-08-03 07:21:50.178000+00:00,2,hbw_status_code
2023-08-03 07:21:52.203000+00:00,2,hbw_status_code
2023-08-03 07:21:54.227000+00:00,2,hbw_status_code
2023-08-03 07:21:56.248000+00:00,2,hbw_status_code
2023-08-03 07:21:58.274000+00:00,2,hbw_status_code
2023-08-03 07:22:00.299000+00:00,2,hbw_status_code
2023-08-03 07:22:02.328000+00:00,2,hbw_status_code
2023-08-03 07:22:04.350000+00:00,2,hbw_status_code
2023-08-03 07:22:06.376000+00:00,2,hbw_status_code
2023-08-03 07:22:08.399000+00:00,2,hbw_status_code
2023-08-03 07:22:10.427000+00:00,2,hbw_status_code
2023-08-03 07:22:12.456000+00:00,2,hbw_status_code
2023-08-03 07:22:14.477000+00:00,2,hbw_status_code
2023-08-03 07:22:16.505000+00:00,2,hbw_status_code
2023-08-03 07:22:18.532000+00:00,2,hbw_status_code
2023-08-03 07:22:20.561000+00:00,2,hbw_status_code
2023-08-03 07:22:22.583000+00:00,2,hbw_status_code
