time,value,measurement
2023-08-03 07:15:03.082000+00:00,1,sld_status_code
2023-08-03 07:15:05.113000+00:00,1,sld_status_code
2023-08-03 07:15:07.141000+00:00,1,sld_status_code
2023-08-03 07:15:09.171000+00:00,1,sld_status_code
2023-08-03 07:15:11.201000+00:00,1,sld_status_code
2023-08-03 07:15:13.222000+00:00,1,sld_status_code
2023-08-03 07:15:15.250000+00:00,1,sld_status_code
2023-08-03 07:15:17.278000+00:00,1,sld_status_code
2023-08-03 07:15:19.304000+00:00,1,sld_status_code
2023-08-03 07:15:21.327000+00:00,1,sld_status_code
2023-08-03 07:15:23.354000+00:00,1,sld_status_code
2023-08-03 07:15:25.381000+00:00,1,sld_status_code
2023-08-03 07:15:27.408000+00:00,1,sld_status_code
2023-08-03 07:15:29.429000+00:00,1,sld_status_code
2023-08-03 07:15:31.456000+00:00,1,sld_status_code
2023-08-03 07:15:33.481000+00:00,1,sld_status_code
2023-08-03 07:15:35.510000+00:00,1,sld_status_code
2023-08-03 07:15:37.529000+00:00,1,sld_status_code
2023-08-03 07:15:39.554000+00:00,1,sld_status_code
2023-08-03 07:15:41.588000+00:00,1,sld_status_code
2023-08-03 07:15:43.607000+00:00,1,sld_status_code
2023-08-03 07:15:45.630000+00:00,1,sld_status_code
2023-08-03 07:15:47.658000+00:00,1,sld_status_code
2023-08-03 07:15:49.685000+00:00,1,sld_status_code
2023-08-03 07:15:51.705000+00:00,1,sld_status_code
2023-08-03 07:15:53.733000+00:00,1,sld_status_code
2023-08-03 07:15:55.760000+00:00,1,sld_status_code
2023-08-03 07:15:57.782000+00:00,1,sld_status_code
2023-08-03 07:15:59.801000+00:00,1,sld_status_code
2023-08-03 07:16:01.827000+00:00,1,sld_status_code
2023-08-03 07:16:03.848000+00:00,1,sld_status_code
2023-08-03 07:16:05.874000+00:00,1,sld_status_code
2023-08-03 07:16:07.895000+00:00,1,sld_status_code
2023-08-03 07:16:09.918000+00:00,1,sld_status_code
2023-08-03 07:16:11.942000+00:00,1,sld_status_code
2023-08-03 07:16:13.965000+00:00,1,sld_status_code
2023-08-03 07:16:15.995000+00:00,1,sld_status_code
2023-08-03 07:16:18.015000+00:00,1,sld_status_code
2023-08-03 07:16:20.042000+00:00,1,sld_status_code
2023-08-03 07:16:22.064000+00:00,1,sld_status_code
2023-08-03 07:16:24.093000+00:00,1,sld_status_code
2023-08-03 07:16:26.116000+00:00,1,sld_status_code
2023-08-03 07:16:28.143000+00:00,1,sld_status_code
2023-08-03 07:16:30.171000+00:00,1,sld_status_code
2023-08-03 07:16:32.197000+00:00,1,sld_status_code
2023-08-03 07:16:34.223000+00:00,1,sld_status_code
2023-08-03 07:16:36.254000+00:00,1,sld_status_code
2023-08-03 07:16:38.271000+00:00,1,sld_status_code
2023-08-03 07:16:40.295000+00:00,1,sld_status_code
2023-08-03 07:16:42.317000+00:00,1,sld_status_code
2023-08-03 07:16:44.338000+00:00,1,sld_status_code
2023-08-03 07:16:46.361000+00:00,1,sld_status_code
2023-08-03 07:16:48.391000+00:00,1,sld_status_code
2023-08-03 07:16:50.410000+00:00,1,sld_status_code
2023-08-03 07:16:52.432000+00:00,1,sld_status_code
2023-08-03 07:16:54.460000+00:00,1,sld_status_code
2023-08-03 07:16:56.489000+00:00,1,sld_status_code
2023-08-03 07:16:58.511000+00:00,1,sld_status_code
