time,value,measurement
2023-08-03 07:15:03.093000+00:00,1,mpo_status_code
2023-08-03 07:15:05.113000+00:00,1,mpo_status_code
2023-08-03 07:15:07.141000+00:00,1,mpo_status_code
2023-08-03 07:15:09.171000+00:00,1,mpo_status_code
2023-08-03 07:15:11.200000+00:00,1,mpo_status_code
2023-08-03 07:15:13.222000+00:00,1,mpo_status_code
2023-08-03 07:15:15.250000+00:00,1,mpo_status_code
2023-08-03 07:15:17.278000+00:00,1,mpo_status_code
2023-08-03 07:15:19.304000+00:00,1,mpo_status_code
2023-08-03 07:15:21.327000+00:00,1,mpo_status_code
2023-08-03 07:15:23.354000+00:00,1,mpo_status_code
2023-08-03 07:15:25.381000+00:00,1,mpo_status_code
2023-08-03 07:15:27.407000+00:00,1,mpo_status_code
2023-08-03 07:15:29.429000+00:00,1,mpo_status_code
2023-08-03 07:15:31.456000+00:00,1,mpo_status_code
2023-08-03 07:15:33.481000+00:00,1,mpo_status_code
2023-08-03 07:15:35.510000+00:00,1,mpo_status_code
2023-08-03 07:15:37.529000+00:00,1,mpo_status_code
2023-08-03 07:15:39.553000+00:00,1,mpo_status_code
2023-08-03 07:15:41.588000+00:00,1,mpo_status_code
2023-08-03 07:15:43.607000+00:00,1,mpo_status_code
2023-08-03 07:15:45.629000+00:00,1,mpo_status_code
2023-08-03 07:15:47.658000+00:00,1,mpo_status_code
2023-08-03 07:15:49.685000+00:00,1,mpo_status_code
2023-08-03 07:15:51.705000+00:00,1,mpo_status_code
2023-08-03 07:15:53.733000+00:00,1,mpo_status_code
2023-08-03 07:15:55.760000+00:00,1,mpo_status_code
2023-08-03 07:15:57.782000+00:00,1,mpo_status_code
2023-08-03 07:15:59.801000+00:00,1,mpo_status_code
2023-08-03 07:16:01.826000+00:00,1,mpo_status_code
2023-08-03 07:16:03.847000+00:00,1,mpo_status_code
2023-08-03 07:16:05.874000+00:00,1,mpo_status_code
2023-08-03 07:16:07.895000+00:00,1,mpo_status_code
2023-08-03 07:16:09.918000+00:00,1,mpo_status_code
2023-08-03 07:16:11.942000+00:00,1,mpo_status_code
2023-08-03 07:16:13.965000+00:00,1,mpo_status_code
2023-08-03 07:16:15.995000+00:00,1,mpo_status_code
2023-08-03 07:16:18.015000+00:00,1,mpo_status_code
2023-08-03 07:16:20.042000+00:00,1,mpo_status_code
2023-08-03 07:16:22.064000+00:00,1,mpo_status_code
2023-08-03 07:16:24.093000+00:00,1,mpo_status_code
2023-08-03 07:16:26.116000+00:00,1,mpo_status_code
2023-08-03 07:16:28.142000+00:00,1,mpo_status_code
2023-08-03 07:16:30.171000+00:00,1,mpo_status_code
2023-08-03 07:16:32.197000+00:00,1,mpo_status_code
2023-08-03 07:16:34.222000+00:00,1,mpo_status_code
2023-08-03 07:16:36.254000+00:00,1,mpo_status_code
2023-08-03 07:16:38.271000+00:00,1,mpo_status_code
2023-08-03 07:16:40.294000+00:00,1,mpo_status_code
2023-08-03 07:16:42.317000+00:00,1,mpo_status_code
2023-08-03 07:16:44.338000+00:00,1,mpo_status_code
2023-08-03 07:16:46.361000+00:00,1,mpo_status_code
2023-08-03 07:16:48.391000+00:00,1,mpo_status_code
2023-08-03 07:16:50.410000+00:00,1,mpo_status_code
2023-08-03 07:16:52.431000+00:00,1,mpo_status_code
2023-08-03 07:16:54.459000+00:00,1,mpo_status_code
2023-08-03 07:16:56.489000+00:00,1,mpo_status_code
2023-08-03 07:16:58.511000+00:00,1,mpo_status_code
2023-08-03 07:17:00.538000+00:00,1,mpo_status_code
2023-08-03 07:17:02.559000+00:00,1,mpo_status_code
2023-08-03 07:17:04.584000+00:00,1,mpo_status_code
2023-08-03 07:17:06.613000+00:00,1,mpo_status_code
2023-08-03 07:17:08.636000+00:00,1,mpo_status_code
2023-08-03 07:17:10.664000+00:00,1,mpo_status_code
2023-08-03 07:17:12.691000+00:00,1,mpo_status_code
2023-08-03 07:17:14.712000+00:00,1,mpo_status_code
2023-08-03 07:17:16.744000+00:00,1,mpo_status_code
2023-08-03 07:17:18.771000+00:00,1,mpo_status_code
2023-08-03 07:17:20.796000+00:00,1,mpo_status_code
2023-08-03 07:17:22.816000+00:00,1,mpo_status_code
2023-08-03 07:17:24.845000+00:00,1,mpo_status_code
2023-08-03 07:17:26.868000+00:00,1,mpo_status_code
2023-08-03 07:17:28.893000+00:00,1,mpo_status_code
2023-08-03 07:17:30.927000+00:00,1,mpo_status_code
2023-08-03 07:17:32.941000+00:00,1,mpo_status_code
2023-08-03 07:17:34.964000+00:00,1,mpo_status_code
2023-08-03 07:17:36.986000+00:00,1,mpo_status_code
2023-08-03 07:17:39.014000+00:00,1,mpo_status_code
2023-08-03 07:17:41.044000+00:00,1,mpo_status_code
2023-08-03 07:17:43.067000+00:00,1,mpo_status_code
2023-08-03 07:17:45.091000+00:00,1,mpo_status_code
2023-08-03 07:17:47.114000+00:00,1,mpo_status_code
2023-08-03 07:17:49.136000+00:00,1,mpo_status_code
2023-08-03 07:17:51.166000+00:00,1,mpo_status_code
2023-08-03 07:17:53.201000+00:00,1,mpo_status_code
2023-08-03 07:17:55.223000+00:00,1,mpo_status_code
2023-08-03 07:17:57.248000+00:00,1,mpo_status_code
2023-08-03 07:17:59.277000+00:00,1,mpo_status_code
2023-08-03 07:18:01.299000+00:00,1,mpo_status_code
2023-08-03 07:18:03.331000+00:00,1,mpo_status_code
2023-08-03 07:18:05.352000+00:00,1,mpo_status_code
2023-08-03 07:18:07.379000+00:00,1,mpo_status_code
2023-08-03 07:18:09.404000+00:00,1,mpo_status_code
2023-08-03 07:18:11.431000+00:00,1,mpo_status_code
2023-08-03 07:18:13.459000+00:00,1,mpo_status_code
2023-08-03 07:18:15.488000+00:00,1,mpo_status_code
2023-08-03 07:18:17.515000+00:00,1,mpo_status_code
2023-08-03 07:18:19.535000+00:00,1,mpo_status_code
2023-08-03 07:18:21.555000+00:00,1,mpo_status_code
2023-08-03 07:18:23.582000+00:00,1,mpo_status_code
2023-08-03 07:18:25.607000+00:00,1,mpo_status_code
2023-08-03 07:18:27.632000+00:00,1,mpo_status_code
2023-08-03 07:18:29.652000+00:00,1,mpo_status_code
2023-08-03 07:18:31.682000+00:00,1,mpo_status_code
