------------------------------------------------------------
Server listening on UDP port 29780
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.5 port 29780 connected with 10.0.0.11 port 59590
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 54.0-55.0 sec  6.74 MBytes  56.6 Mbits/sec   0.019 ms 8158/12968 (63%)
[  3] 55.0-56.0 sec  9.36 MBytes  78.5 Mbits/sec   0.039 ms 8279/14958 (55%)
[  3] 56.0-57.0 sec  1.28 MBytes  10.8 Mbits/sec   0.058 ms 6054/ 6970 (87%)
[  3] 57.0-58.0 sec  5.73 MBytes  48.1 Mbits/sec   0.003 ms 6623/10710 (62%)
[  3] 58.0-59.0 sec  2.56 MBytes  21.5 Mbits/sec   0.002 ms 13600/15428 (88%)
[  3] 59.0-60.0 sec  3.97 MBytes  33.3 Mbits/sec   0.002 ms 9835/12664 (78%)
[  3] 60.0-61.0 sec  1.65 MBytes  13.8 Mbits/sec   9.104 ms 9506/10683 (89%)
[  3] 61.0-62.0 sec  5.36 MBytes  44.9 Mbits/sec   0.296 ms 2473/ 6293 (39%)
[  3] 62.0-63.0 sec  3.69 MBytes  31.0 Mbits/sec  15.431 ms 9812/12446 (79%)
[  3] 63.0-64.0 sec  3.37 MBytes  28.3 Mbits/sec   0.003 ms 6004/ 8411 (71%)
[  3] 64.0-65.0 sec  3.48 MBytes  29.2 Mbits/sec   0.005 ms 10237/12717 (80%)
[  3] 65.0-66.0 sec  2.99 MBytes  25.1 Mbits/sec   0.021 ms 9468/11599 (82%)
[  3] 66.0-67.0 sec  3.25 MBytes  27.3 Mbits/sec   0.066 ms 8813/11131 (79%)
[  3] 67.0-68.0 sec  4.32 MBytes  36.2 Mbits/sec   0.012 ms 7140/10218 (70%)
[  3] 68.0-69.0 sec  2.89 MBytes  24.2 Mbits/sec  18.856 ms 3094/ 5152 (60%)
[  3] 69.0-70.0 sec  1.84 MBytes  15.4 Mbits/sec   0.005 ms 2680/ 3992 (67%)
[  3] 70.0-71.0 sec  3.24 MBytes  27.2 Mbits/sec   0.007 ms 8976/11285 (80%)
[  3] 71.0-72.0 sec  4.94 MBytes  41.5 Mbits/sec   5.552 ms 1445/ 4970 (29%)
[  3] 72.0-73.0 sec  4.71 MBytes  39.5 Mbits/sec   0.014 ms 6454/ 9812 (66%)
[  3] 73.0-74.0 sec  3.04 MBytes  25.5 Mbits/sec   0.063 ms 4436/ 6607 (67%)
