,index,Unnamed: 0,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName,runtime,packet_count_shifted,packet_count_Average,byte_count_shifted,byte_count_Average,byte_count_Average_norm,packet_count_Average_norm
0,1982,8,1,4,00:00:00:00:00:03,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834507,rohe_test_stage,sdn,10,2,119.1,84,121137.6,0.9660186155134285,0.9305555555555556
1,1983,9,1,4,00:00:00:00:00:03,3,1596,aaltosea1,rohe_test_isntance,experiment1,1700834508,rohe_test_stage,sdn,11,3,118.9,1596,121579.6,0.9701674945651562,0.9287037037037038
2,1984,9,1,4,00:00:00:00:00:03,3,1596,aaltosea1,rohe_test_isntance,experiment1,1700834509,rohe_test_stage,sdn,12,3,118.6,1596,121785.6,0.9721011350281786,0.9259259259259259
3,1985,9,1,4,00:00:00:00:00:03,3,1596,aaltosea1,rohe_test_isntance,experiment1,1700834510,rohe_test_stage,sdn,13,3,118.7,1596,122050.6,0.9745885851383773,0.9268518518518518
4,1986,9,1,4,00:00:00:00:00:03,7,6722,aaltosea1,rohe_test_isntance,experiment1,1700834511,rohe_test_stage,sdn,14,7,118.9,6722,122315.6,0.9770760352485761,0.9287037037037038
5,1987,9,1,4,00:00:00:00:00:03,7,6722,aaltosea1,rohe_test_isntance,experiment1,1700834512,rohe_test_stage,sdn,15,7,119.1,6722,122580.6,0.9795634853587748,0.9305555555555556
6,1988,10,1,4,00:00:00:00:00:03,7,6722,aaltosea1,rohe_test_isntance,experiment1,1700834513,rohe_test_stage,sdn,16,5,119.3,6638,122727.6,0.9809433161746209,0.9324074074074074
7,1989,10,1,4,00:00:00:00:00:03,7,6722,aaltosea1,rohe_test_isntance,experiment1,1700834514,rohe_test_stage,sdn,17,5,119.6,6638,122664.4,0.9803500827898489,0.9351851851851852
8,1990,10,1,4,00:00:00:00:00:03,10,9414,aaltosea1,rohe_test_isntance,experiment1,1700834515,rohe_test_stage,sdn,18,8,119.7,9330,122723.4,0.9809038924370251,0.936111111111111
9,1991,10,1,4,00:00:00:00:00:03,10,9414,aaltosea1,rohe_test_isntance,experiment1,1700834516,rohe_test_stage,sdn,19,8,120.1,9330,122782.4,0.9814577020842015,0.9398148148148148
10,1992,10,1,4,00:00:00:00:00:03,10,9414,aaltosea1,rohe_test_isntance,experiment1,1700834517,rohe_test_stage,sdn,20,8,120.6,9330,122727.6,0.9809433161746209,0.9444444444444444
11,1993,10,1,4,00:00:00:00:00:03,10,9414,aaltosea1,rohe_test_isntance,experiment1,1700834518,rohe_test_stage,sdn,21,7,121.1,7818,122500.0,0.9788069250611068,0.9490740740740741
12,1994,10,1,4,00:00:00:00:00:03,19,17490,aaltosea1,rohe_test_isntance,experiment1,1700834519,rohe_test_stage,sdn,22,16,121.9,15894,122390.4,0.9777781532419453,0.9564814814814816
13,1995,10,1,4,00:00:00:00:00:03,28,25018,aaltosea1,rohe_test_isntance,experiment1,1700834520,rohe_test_stage,sdn,23,25,122.5,23422,122280.8,0.9767493814227839,0.9620370370370371
14,1996,10,1,4,00:00:00:00:00:03,57,55036,aaltosea1,rohe_test_isntance,experiment1,1700834521,rohe_test_stage,sdn,24,50,122.9,48314,122171.2,0.9757206096036224,0.9657407407407409
15,1997,10,1,4,00:00:00:00:00:03,68,67058,aaltosea1,rohe_test_isntance,experiment1,1700834522,rohe_test_stage,sdn,25,61,122.9,60336,122179.6,0.9757994570788137,0.9657407407407409
16,1998,10,1,4,00:00:00:00:00:03,69,68570,aaltosea1,rohe_test_isntance,experiment1,1700834523,rohe_test_stage,sdn,26,62,122.9,61848,122247.0,0.9764321142011811,0.9657407407407409
17,1999,10,1,4,00:00:00:00:00:03,71,70124,aaltosea1,rohe_test_isntance,experiment1,1700834524,rohe_test_stage,sdn,27,64,122.7,63402,122734.8,0.9810108997247847,0.9638888888888888
18,2000,10,1,4,00:00:00:00:00:03,73,72226,aaltosea1,rohe_test_isntance,experiment1,1700834525,rohe_test_stage,sdn,28,63,122.6,62812,122465.6,0.9784840258769905,0.9629629629629629
19,2001,10,1,4,00:00:00:00:00:03,75,74328,aaltosea1,rohe_test_isntance,experiment1,1700834526,rohe_test_stage,sdn,29,65,122.3,64914,122255.4,0.9765109616763723,0.960185185185185
20,2002,10,1,4,00:00:00:00:00:03,77,76430,aaltosea1,rohe_test_isntance,experiment1,1700834527,rohe_test_stage,sdn,30,67,121.9,67016,122036.8,0.9744590500005632,0.9564814814814816
21,2003,10,1,4,00:00:00:00:00:03,79,78532,aaltosea1,rohe_test_isntance,experiment1,1700834528,rohe_test_stage,sdn,31,69,121.6,69118,121877.2,0.9729609479719302,0.9537037037037037
22,2004,11,1,4,00:00:00:00:00:03,80,80044,aaltosea1,rohe_test_isntance,experiment1,1700834529,rohe_test_stage,sdn,32,61,121.2,62554,121717.6,0.9714628459432975,0.95
23,2005,11,1,4,00:00:00:00:00:03,82,82146,aaltosea1,rohe_test_isntance,experiment1,1700834530,rohe_test_stage,sdn,33,54,120.9,57128,121347.8,0.9679916797140465,0.9472222222222223
24,2006,11,1,4,00:00:00:00:00:03,85,84838,aaltosea1,rohe_test_isntance,experiment1,1700834531,rohe_test_stage,sdn,34,28,120.5,29802,120978.0,0.9645205134847955,0.9435185185185185
25,2007,11,1,4,00:00:00:00:00:03,92,89342,aaltosea1,rohe_test_isntance,experiment1,1700834532,rohe_test_stage,sdn,35,24,120.5,22284,120608.2,0.9610493472555446,0.9435185185185185
26,2008,11,1,4,00:00:00:00:00:03,94,91444,aaltosea1,rohe_test_isntance,experiment1,1700834533,rohe_test_stage,sdn,36,25,120.7,22874,120238.4,0.9575781810262937,0.9453703703703703
27,2009,11,1,4,00:00:00:00:00:03,96,93546,aaltosea1,rohe_test_isntance,experiment1,1700834534,rohe_test_stage,sdn,37,25,121.0,23422,119658.4,0.9521339505964247,0.9481481481481482
28,2010,11,1,4,00:00:00:00:00:03,99,96238,aaltosea1,rohe_test_isntance,experiment1,1700834535,rohe_test_stage,sdn,38,26,121.1,24012,119772.2,0.9532021461531818,0.9490740740740741
29,2011,11,1,4,00:00:00:00:00:03,102,99852,aaltosea1,rohe_test_isntance,experiment1,1700834536,rohe_test_stage,sdn,39,27,121.4,25524,119562.0,0.9512290819525638,0.951851851851852
30,2012,12,1,4,00:00:00:00:00:03,102,99852,aaltosea1,rohe_test_isntance,experiment1,1700834537,rohe_test_stage,sdn,40,25,121.4,23422,121323.0,0.9677588919301486,0.951851851851852
31,2013,12,1,4,00:00:00:00:00:03,104,101954,aaltosea1,rohe_test_isntance,experiment1,1700834538,rohe_test_stage,sdn,41,25,121.9,23422,121407.8,0.9685548759654122,0.9564814814814816
32,2014,12,1,4,00:00:00:00:00:03,108,106158,aaltosea1,rohe_test_isntance,experiment1,1700834539,rohe_test_stage,sdn,42,28,122.0,26114,121256.6,0.9671356214119706,0.9574074074074075
33,2015,12,1,4,00:00:00:00:00:03,108,106158,aaltosea1,rohe_test_isntance,experiment1,1700834540,rohe_test_stage,sdn,43,26,122.2,24012,121046.4,0.9651625572113525,0.9592592592592593
34,2016,13,1,4,00:00:00:00:00:03,112,110362,aaltosea1,rohe_test_isntance,experiment1,1700834541,rohe_test_stage,sdn,44,27,122.4,25524,121256.6,0.9671356214119706,0.9611111111111112
35,2017,13,1,4,00:00:00:00:00:03,114,112464,aaltosea1,rohe_test_isntance,experiment1,1700834542,rohe_test_stage,sdn,45,22,122.6,23122,121407.8,0.9685548759654122,0.9629629629629629
36,2018,13,1,4,00:00:00:00:00:03,116,114566,aaltosea1,rohe_test_isntance,experiment1,1700834543,rohe_test_stage,sdn,46,22,122.6,23122,121222.4,0.966814599548692,0.9629629629629629
37,2019,13,1,4,00:00:00:00:00:03,120,118770,aaltosea1,rohe_test_isntance,experiment1,1700834544,rohe_test_stage,sdn,47,24,122.4,25224,121096.0,0.9656281327791482,0.9611111111111112
38,2020,13,1,4,00:00:00:00:00:03,120,118770,aaltosea1,rohe_test_isntance,experiment1,1700834545,rohe_test_stage,sdn,48,21,122.5,22532,120978.0,0.9645205134847955,0.9620370370370371
39,2021,13,1,4,00:00:00:00:00:03,121,119360,aaltosea1,rohe_test_isntance,experiment1,1700834546,rohe_test_stage,sdn,49,19,122.6,19508,120801.0,0.9628590845432666,0.9629629629629629
40,2022,13,1,4,00:00:00:00:00:03,121,119360,aaltosea1,rohe_test_isntance,experiment1,1700834547,rohe_test_stage,sdn,50,19,122.6,19508,120354.8,0.9586707817539433,0.9629629629629629
41,2023,13,1,4,00:00:00:00:00:03,121,119360,aaltosea1,rohe_test_isntance,experiment1,1700834548,rohe_test_stage,sdn,51,17,122.4,17406,119967.6,0.9550362886117963,0.9611111111111112
42,2024,13,1,4,00:00:00:00:00:03,121,119360,aaltosea1,rohe_test_isntance,experiment1,1700834549,rohe_test_stage,sdn,52,13,122.4,13202,120026.6,0.9555900982589727,0.9611111111111112
43,2025,13,1,4,00:00:00:00:00:03,121,119360,aaltosea1,rohe_test_isntance,experiment1,1700834550,rohe_test_stage,sdn,53,13,122.4,13202,119816.4,0.9536170340583545,0.9611111111111112
