,index,Unnamed: 0,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName,runtime,packet_count_shifted,packet_count_Average,byte_count_shifted,byte_count_Average,byte_count_Average_norm,packet_count_Average_norm
0,4271,1,2,1,00:00:00:00:00:07,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834504,rohe_test_stage,sdn,10,0,0.0,0,0.0,0.0,0.0
1,4272,1,2,1,00:00:00:00:00:07,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834505,rohe_test_stage,sdn,11,0,0.0,0,0.0,0.0,0.0
2,4273,1,2,1,00:00:00:00:00:07,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834506,rohe_test_stage,sdn,12,0,0.0,0,0.0,0.0,0.0
3,4274,1,2,1,00:00:00:00:00:07,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834507,rohe_test_stage,sdn,13,0,0.0,0,0.0,0.0,0.0
4,4275,1,2,1,00:00:00:00:00:07,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834508,rohe_test_stage,sdn,14,0,0.0,0,0.0,0.0,0.0
5,4276,1,2,1,00:00:00:00:00:07,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834509,rohe_test_stage,sdn,15,0,0.0,0,0.0,0.0,0.0
6,4277,1,2,1,00:00:00:00:00:07,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834510,rohe_test_stage,sdn,16,0,0.0,0,0.0,0.0,0.0
7,4278,1,2,1,00:00:00:00:00:07,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834511,rohe_test_stage,sdn,17,0,0.0,0,0.0,0.0,0.0
8,4279,1,2,1,00:00:00:00:00:07,0,0,aaltosea1,rohe_test_isntance,experiment1,1700834512,rohe_test_stage,sdn,18,0,0.0,0,0.0,0.0,0.0
9,4280,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834513,rohe_test_stage,sdn,19,2,0.2,84,8.4,4.538058100109562e-05,0.001075268817204301
10,4281,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834514,rohe_test_stage,sdn,20,2,0.4,84,16.8,9.076116200219124e-05,0.002150537634408602
11,4282,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834515,rohe_test_stage,sdn,21,2,0.6,84,25.2,0.00013614174300328685,0.0032258064516129032
12,4283,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834516,rohe_test_stage,sdn,22,2,0.8,84,33.6,0.00018152232400438247,0.004301075268817204
13,4284,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834517,rohe_test_stage,sdn,23,2,1.0,84,42.0,0.00022690290500547807,0.005376344086021506
14,4285,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834518,rohe_test_stage,sdn,24,2,1.2,84,50.4,0.0002722834860065737,0.0064516129032258064
15,4286,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834519,rohe_test_stage,sdn,25,2,1.4,84,58.8,0.00031766406700766927,0.007526881720430107
16,4287,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834520,rohe_test_stage,sdn,26,2,1.6,84,67.2,0.00036304464800876495,0.008602150537634409
17,4288,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834521,rohe_test_stage,sdn,27,2,1.8,84,75.6,0.0004084252290098605,0.00967741935483871
18,4289,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834522,rohe_test_stage,sdn,28,2,2.0,84,84.0,0.00045380581001095615,0.010752688172043012
19,4290,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834523,rohe_test_stage,sdn,29,0,1.8,0,75.6,0.0004084252290098605,0.00967741935483871
20,4291,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834524,rohe_test_stage,sdn,30,0,1.6,0,67.2,0.00036304464800876495,0.008602150537634409
21,4292,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834525,rohe_test_stage,sdn,31,0,1.4,0,58.8,0.00031766406700766927,0.007526881720430107
22,4293,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834526,rohe_test_stage,sdn,32,0,1.2,0,50.4,0.0002722834860065737,0.0064516129032258064
23,4294,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834527,rohe_test_stage,sdn,33,0,1.0,0,42.0,0.00022690290500547807,0.005376344086021506
24,4295,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834528,rohe_test_stage,sdn,34,0,0.8,0,33.6,0.00018152232400438247,0.004301075268817204
25,4296,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834529,rohe_test_stage,sdn,35,0,0.6,0,25.2,0.00013614174300328685,0.0032258064516129032
26,4297,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834530,rohe_test_stage,sdn,36,0,0.4,0,16.8,9.076116200219124e-05,0.002150537634408602
27,4298,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834531,rohe_test_stage,sdn,37,0,0.2,0,8.4,4.538058100109562e-05,0.001075268817204301
28,4299,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834532,rohe_test_stage,sdn,38,0,0.0,0,0.0,0.0,0.0
29,4300,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834533,rohe_test_stage,sdn,39,0,0.0,0,0.0,0.0,0.0
30,4301,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834534,rohe_test_stage,sdn,40,0,0.0,0,0.0,0.0,0.0
31,4302,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834535,rohe_test_stage,sdn,41,0,0.0,0,0.0,0.0,0.0
32,4303,1,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700834536,rohe_test_stage,sdn,42,0,0.0,0,0.0,0.0,0.0
33,4304,1,2,1,00:00:00:00:00:07,3,1596,aaltosea1,rohe_test_isntance,experiment1,1700834537,rohe_test_stage,sdn,43,1,0.1,1512,151.2,0.000816850458019721,0.0005376344086021505
34,4305,1,2,1,00:00:00:00:00:07,3,1596,aaltosea1,rohe_test_isntance,experiment1,1700834538,rohe_test_stage,sdn,44,1,0.2,1512,302.4,0.001633700916039442,0.001075268817204301
35,4306,1,2,1,00:00:00:00:00:07,3,1596,aaltosea1,rohe_test_isntance,experiment1,1700834539,rohe_test_stage,sdn,45,1,0.3,1512,453.6,0.0024505513740591634,0.0016129032258064516
36,4307,1,2,1,00:00:00:00:00:07,10,6648,aaltosea1,rohe_test_isntance,experiment1,1700834540,rohe_test_stage,sdn,46,8,1.1,6564,1110.0,0.005996719632287635,0.0059139784946236566
37,4308,1,2,1,00:00:00:00:00:07,36,31582,aaltosea1,rohe_test_isntance,experiment1,1700834541,rohe_test_stage,sdn,47,34,4.5,31498,4259.8,0.023013357017674655,0.024193548387096774
38,4309,1,2,1,00:00:00:00:00:07,73,67068,aaltosea1,rohe_test_isntance,experiment1,1700834542,rohe_test_stage,sdn,48,71,11.6,66984,10958.2,0.0592011288959769,0.06236559139784946
39,4310,1,2,1,00:00:00:00:00:07,93,88088,aaltosea1,rohe_test_isntance,experiment1,1700834543,rohe_test_stage,sdn,49,91,20.7,88004,19758.6,0.1067448509247914,0.11129032258064515
40,4311,1,2,1,00:00:00:00:00:07,93,88088,aaltosea1,rohe_test_isntance,experiment1,1700834544,rohe_test_stage,sdn,50,91,29.8,88004,28559.0,0.1542885729536059,0.16021505376344086
41,4312,1,2,1,00:00:00:00:00:07,93,88088,aaltosea1,rohe_test_isntance,experiment1,1700834545,rohe_test_stage,sdn,51,91,38.9,88004,37359.4,0.20183229498242042,0.20913978494623656
42,4313,1,2,1,00:00:00:00:00:07,93,88088,aaltosea1,rohe_test_isntance,experiment1,1700834546,rohe_test_stage,sdn,52,91,48.0,88004,46159.8,0.24937601701123494,0.25806451612903225
43,4314,1,2,1,00:00:00:00:00:07,93,88088,aaltosea1,rohe_test_isntance,experiment1,1700834547,rohe_test_stage,sdn,53,90,56.9,86492,54657.8,0.29528603812401,0.30591397849462365
44,4315,1,2,1,00:00:00:00:00:07,93,88088,aaltosea1,rohe_test_isntance,experiment1,1700834548,rohe_test_stage,sdn,54,90,65.8,86492,63155.8,0.3411960592367851,0.35376344086021505
45,4316,1,2,1,00:00:00:00:00:07,93,88088,aaltosea1,rohe_test_isntance,experiment1,1700834549,rohe_test_stage,sdn,55,90,74.7,86492,71653.8,0.3871060803495601,0.40161290322580645
46,4317,1,2,1,00:00:00:00:00:07,93,88088,aaltosea1,rohe_test_isntance,experiment1,1700834550,rohe_test_stage,sdn,56,83,82.2,81440,79141.4,0.4275574658619176,0.44193548387096776
47,4318,1,2,1,00:00:00:00:00:07,93,88088,aaltosea1,rohe_test_isntance,experiment1,1700834551,rohe_test_stage,sdn,57,57,84.5,56506,81642.2,0.44106791311995813,0.4543010752688172
48,4319,1,2,1,00:00:00:00:00:07,93,88088,aaltosea1,rohe_test_isntance,experiment1,1700834553,rohe_test_stage,sdn,59,20,79.4,21020,77045.8,0.41623609139216816,0.4268817204301076
49,4320,1,2,1,00:00:00:00:00:07,93,88088,aaltosea1,rohe_test_isntance,experiment1,1700834554,rohe_test_stage,sdn,60,0,70.3,0,68245.4,0.3686923693633536,0.3779569892473118
50,4321,1,2,1,00:00:00:00:00:07,93,88088,aaltosea1,rohe_test_isntance,experiment1,1700834555,rohe_test_stage,sdn,61,0,61.2,0,59445.0,0.32114864733453913,0.32903225806451614
51,4322,1,2,1,00:00:00:00:00:07,93,88088,aaltosea1,rohe_test_isntance,experiment1,1700834556,rohe_test_stage,sdn,62,0,52.1,0,50644.6,0.2736049253057246,0.2801075268817204
52,4323,1,2,1,00:00:00:00:00:07,93,88088,aaltosea1,rohe_test_isntance,experiment1,1700834557,rohe_test_stage,sdn,63,0,43.0,0,41844.2,0.22606120327691012,0.23118279569892472
53,4324,1,2,1,00:00:00:00:00:07,94,89600,aaltosea1,rohe_test_isntance,experiment1,1700834558,rohe_test_stage,sdn,64,1,34.1,1512,33346.2,0.18015118216413506,0.18333333333333335
54,4325,1,2,1,00:00:00:00:00:07,94,89600,aaltosea1,rohe_test_isntance,experiment1,1700834559,rohe_test_stage,sdn,65,1,25.2,1512,24848.2,0.13424116105136,0.13548387096774192
55,4326,1,2,1,00:00:00:00:00:07,94,89600,aaltosea1,rohe_test_isntance,experiment1,1700834560,rohe_test_stage,sdn,66,1,16.3,1512,16350.2,0.08833113993858495,0.08763440860215053
56,4327,1,2,1,00:00:00:00:00:07,94,89600,aaltosea1,rohe_test_isntance,experiment1,1700834561,rohe_test_stage,sdn,67,1,8.1,1512,8357.4,0.04515043662601863,0.043548387096774194
57,4328,1,2,1,00:00:00:00:00:07,94,89600,aaltosea1,rohe_test_isntance,experiment1,1700834562,rohe_test_stage,sdn,68,1,2.5,1512,2858.0,0.015440202440610866,0.013440860215053764
58,4329,1,2,1,00:00:00:00:00:07,94,89600,aaltosea1,rohe_test_isntance,experiment1,1700834563,rohe_test_stage,sdn,69,1,0.6,1512,907.2,0.004901102748118327,0.0032258064516129032
59,4330,1,2,1,00:00:00:00:00:07,94,89600,aaltosea1,rohe_test_isntance,experiment1,1700834564,rohe_test_stage,sdn,70,1,0.7,1512,1058.4,0.005717953206138048,0.0037634408602150535
60,4331,1,2,1,00:00:00:00:00:07,94,89600,aaltosea1,rohe_test_isntance,experiment1,1700834565,rohe_test_stage,sdn,71,1,0.8,1512,1209.6,0.006534803664157768,0.004301075268817204
61,4332,1,2,1,00:00:00:00:00:07,94,89600,aaltosea1,rohe_test_isntance,experiment1,1700834566,rohe_test_stage,sdn,72,1,0.9,1512,1360.8,0.0073516541221774895,0.004838709677419355
62,4333,1,2,1,00:00:00:00:00:07,94,89600,aaltosea1,rohe_test_isntance,experiment1,1700834567,rohe_test_stage,sdn,73,1,1.0,1512,1512.0,0.00816850458019721,0.005376344086021506
63,4334,1,2,1,00:00:00:00:00:07,94,89600,aaltosea1,rohe_test_isntance,experiment1,1700834568,rohe_test_stage,sdn,74,0,0.9,0,1360.8,0.0073516541221774895,0.004838709677419355
